audio_path,spect_path,annot_path,annot_format,duration,timebin_dur,split
/home/art/Documents/data/BFSongRepository/gy6or6/032212/gy6or6_baseline_220312_0915.147.cbin,/home/art/Documents/repos/coding/birdsong/tweetynet/data/BFSongRepository/learncurve/gy6or6/spectrograms_generated_210423_094826/gy6or6_baseline_220312_0915.147.cbin.spect.npz,/home/art/Documents/data/BFSongRepository/gy6or6/032212/gy6or6_baseline_220312_0915.147.cbin.not.mat,notmat,10.912,0.002,None
/home/art/Documents/data/BFSongRepository/gy6or6/032212/gy6or6_baseline_220312_0925.176.cbin,/home/art/Documents/repos/coding/birdsong/tweetynet/data/BFSongRepository/learncurve/gy6or6/spectrograms_generated_210423_094826/gy6or6_baseline_220312_0925.176.cbin.spect.npz,/home/art/Documents/data/BFSongRepository/gy6or6/032212/gy6or6_baseline_220312_0925.176.cbin.not.mat,notmat,11.248000000000001,0.002,train
/home/art/Documents/data/BFSongRepository/gy6or6/032212/gy6or6_baseline_220312_0927.182.cbin,/home/art/Documents/repos/coding/birdsong/tweetynet/data/BFSongRepository/learncurve/gy6or6/spectrograms_generated_210423_094826/gy6or6_baseline_220312_0927.182.cbin.spect.npz,/home/art/Documents/data/BFSongRepository/gy6or6/032212/gy6or6_baseline_220312_0927.182.cbin.not.mat,notmat,9.032,0.002,test
/home/art/Documents/data/BFSongRepository/gy6or6/032212/gy6or6_baseline_220312_0928.183.cbin,/home/art/Documents/repos/coding/birdsong/tweetynet/data/BFSongRepository/learncurve/gy6or6/spectrograms_generated_210423_094826/gy6or6_baseline_220312_0928.183.cbin.spect.npz,/home/art/Documents/data/BFSongRepository/gy6or6/032212/gy6or6_baseline_220312_0928.183.cbin.not.mat,notmat,12.02,0.002,train
/home/art/Documents/data/BFSongRepository/gy6or6/032212/gy6or6_baseline_220312_0929.190.cbin,/home/art/Documents/repos/coding/birdsong/tweetynet/data/BFSongRepository/learncurve/gy6or6/spectrograms_generated_210423_094826/gy6or6_baseline_220312_0929.190.cbin.spect.npz,/home/art/Documents/data/BFSongRepository/gy6or6/032212/gy6or6_baseline_220312_0929.190.cbin.not.mat,notmat,6.664,0.002,train
/home/art/Documents/data/BFSongRepository/gy6or6/032212/gy6or6_baseline_220312_0929.191.cbin,/home/art/Documents/repos/coding/birdsong/tweetynet/data/BFSongRepository/learncurve/gy6or6/spectrograms_generated_210423_094826/gy6or6_baseline_220312_0929.191.cbin.spect.npz,/home/art/Documents/data/BFSongRepository/gy6or6/032212/gy6or6_baseline_220312_0929.191.cbin.not.mat,notmat,12.64,0.002,None
/home/art/Documents/data/BFSongRepository/gy6or6/032212/gy6or6_baseline_220312_0931.194.cbin,/home/art/Documents/repos/coding/birdsong/tweetynet/data/BFSongRepository/learncurve/gy6or6/spectrograms_generated_210423_094826/gy6or6_baseline_220312_0931.194.cbin.spect.npz,/home/art/Documents/data/BFSongRepository/gy6or6/032212/gy6or6_baseline_220312_0931.194.cbin.not.mat,notmat,6.328,0.002,val
/home/art/Documents/data/BFSongRepository/gy6or6/032212/gy6or6_baseline_220312_0932.199.cbin,/home/art/Documents/repos/coding/birdsong/tweetynet/data/BFSongRepository/learncurve/gy6or6/spectrograms_generated_210423_094826/gy6or6_baseline_220312_0932.199.cbin.spect.npz,/home/art/Documents/data/BFSongRepository/gy6or6/032212/gy6or6_baseline_220312_0932.199.cbin.not.mat,notmat,14.954,0.002,test
/home/art/Documents/data/BFSongRepository/gy6or6/032212/gy6or6_baseline_220312_0933.201.cbin,/home/art/Documents/repos/coding/birdsong/tweetynet/data/BFSongRepository/learncurve/gy6or6/spectrograms_generated_210423_094826/gy6or6_baseline_220312_0933.201.cbin.spect.npz,/home/art/Documents/data/BFSongRepository/gy6or6/032212/gy6or6_baseline_220312_0933.201.cbin.not.mat,notmat,12.526,0.002,train
/home/art/Documents/data/BFSongRepository/gy6or6/032212/gy6or6_baseline_220312_0933.205.cbin,/home/art/Documents/repos/coding/birdsong/tweetynet/data/BFSongRepository/learncurve/gy6or6/spectrograms_generated_210423_094826/gy6or6_baseline_220312_0933.205.cbin.spect.npz,/home/art/Documents/data/BFSongRepository/gy6or6/032212/gy6or6_baseline_220312_0933.205.cbin.not.mat,notmat,11.076,0.002,train
