audio_path,spect_path,annot_path,annot_format,duration,timebin_dur,split
/home/art/Documents/data/BFSongRepository/or60yw70/0927_092812/or60yw70_270912_1259.3073.cbin,/home/art/Documents/repos/coding/birdsong/tweetynet/data/BFSongRepository/learncurve/or60yw70/spectrograms_generated_210423_095512/or60yw70_270912_1259.3073.cbin.spect.npz,/home/art/Documents/data/BFSongRepository/or60yw70/0927_092812/or60yw70_270912_1259.3073.cbin.not.mat,notmat,15.746,0.002,test
/home/art/Documents/data/BFSongRepository/or60yw70/0927_092812/or60yw70_270912_1300.3078.cbin,/home/art/Documents/repos/coding/birdsong/tweetynet/data/BFSongRepository/learncurve/or60yw70/spectrograms_generated_210423_095512/or60yw70_270912_1300.3078.cbin.spect.npz,/home/art/Documents/data/BFSongRepository/or60yw70/0927_092812/or60yw70_270912_1300.3078.cbin.not.mat,notmat,11.854000000000001,0.002,val
/home/art/Documents/data/BFSongRepository/or60yw70/0927_092812/or60yw70_270912_1301.3083.cbin,/home/art/Documents/repos/coding/birdsong/tweetynet/data/BFSongRepository/learncurve/or60yw70/spectrograms_generated_210423_095512/or60yw70_270912_1301.3083.cbin.spect.npz,/home/art/Documents/data/BFSongRepository/or60yw70/0927_092812/or60yw70_270912_1301.3083.cbin.not.mat,notmat,17.75,0.002,train
/home/art/Documents/data/BFSongRepository/or60yw70/0927_092812/or60yw70_270912_1305.3103.cbin,/home/art/Documents/repos/coding/birdsong/tweetynet/data/BFSongRepository/learncurve/or60yw70/spectrograms_generated_210423_095512/or60yw70_270912_1305.3103.cbin.spect.npz,/home/art/Documents/data/BFSongRepository/or60yw70/0927_092812/or60yw70_270912_1305.3103.cbin.not.mat,notmat,14.232000000000001,0.002,test
/home/art/Documents/data/BFSongRepository/or60yw70/0927_092812/or60yw70_270912_1310.3153.cbin,/home/art/Documents/repos/coding/birdsong/tweetynet/data/BFSongRepository/learncurve/or60yw70/spectrograms_generated_210423_095512/or60yw70_270912_1310.3153.cbin.spect.npz,/home/art/Documents/data/BFSongRepository/or60yw70/0927_092812/or60yw70_270912_1310.3153.cbin.not.mat,notmat,19.878,0.002,train
/home/art/Documents/data/BFSongRepository/or60yw70/0927_092812/or60yw70_270912_1313.3177.cbin,/home/art/Documents/repos/coding/birdsong/tweetynet/data/BFSongRepository/learncurve/or60yw70/spectrograms_generated_210423_095512/or60yw70_270912_1313.3177.cbin.spect.npz,/home/art/Documents/data/BFSongRepository/or60yw70/0927_092812/or60yw70_270912_1313.3177.cbin.not.mat,notmat,17.55,0.002,train
/home/art/Documents/data/BFSongRepository/or60yw70/0927_092812/or60yw70_270912_1321.3219.cbin,/home/art/Documents/repos/coding/birdsong/tweetynet/data/BFSongRepository/learncurve/or60yw70/spectrograms_generated_210423_095512/or60yw70_270912_1321.3219.cbin.spect.npz,/home/art/Documents/data/BFSongRepository/or60yw70/0927_092812/or60yw70_270912_1321.3219.cbin.not.mat,notmat,12.93,0.002,test
/home/art/Documents/data/BFSongRepository/or60yw70/0927_092812/or60yw70_270912_1330.3300.cbin,/home/art/Documents/repos/coding/birdsong/tweetynet/data/BFSongRepository/learncurve/or60yw70/spectrograms_generated_210423_095512/or60yw70_270912_1330.3300.cbin.spect.npz,/home/art/Documents/data/BFSongRepository/or60yw70/0927_092812/or60yw70_270912_1330.3300.cbin.not.mat,notmat,16.44,0.002,val
/home/art/Documents/data/BFSongRepository/or60yw70/0927_092812/or60yw70_270912_1358.3430.cbin,/home/art/Documents/repos/coding/birdsong/tweetynet/data/BFSongRepository/learncurve/or60yw70/spectrograms_generated_210423_095512/or60yw70_270912_1358.3430.cbin.spect.npz,/home/art/Documents/data/BFSongRepository/or60yw70/0927_092812/or60yw70_270912_1358.3430.cbin.not.mat,notmat,20.582,0.002,test
/home/art/Documents/data/BFSongRepository/or60yw70/0927_092812/or60yw70_270912_1400.3444.cbin,/home/art/Documents/repos/coding/birdsong/tweetynet/data/BFSongRepository/learncurve/or60yw70/spectrograms_generated_210423_095512/or60yw70_270912_1400.3444.cbin.spect.npz,/home/art/Documents/data/BFSongRepository/or60yw70/0927_092812/or60yw70_270912_1400.3444.cbin.not.mat,notmat,8.496,0.002,test
