,Unnamed: 0,audio_path,spect_path,annot_path,annot_format,duration,timebin_dur,split
0,0,/media/windowsD/YardenBirds/llb3_spring/llb3_0002_2018_04_23_14_18_03.wav,/media/windowsD/YardenBirds/llb3_spring/annotated/llb3_0002_2018_04_23_14_18_03.wav.npz,/media/windowsD/YardenBirds/llb3_spring/llb3_annotation_Apr_2019_emily_4TF.mat,yarden,17.201700000000002,0.0027,train
1,1,/media/windowsD/YardenBirds/llb3_spring/llb3_0003_2018_04_23_14_18_54.wav,/media/windowsD/YardenBirds/llb3_spring/annotated/llb3_0003_2018_04_23_14_18_54.wav.npz,/media/windowsD/YardenBirds/llb3_spring/llb3_annotation_Apr_2019_emily_4TF.mat,yarden,19.4616,0.0027,train
2,2,/media/windowsD/YardenBirds/llb3_spring/llb3_0009_2018_04_23_15_01_07.wav,/media/windowsD/YardenBirds/llb3_spring/annotated/llb3_0009_2018_04_23_15_01_07.wav.npz,/media/windowsD/YardenBirds/llb3_spring/llb3_annotation_Apr_2019_emily_4TF.mat,yarden,20.1825,0.0027,train
3,3,/media/windowsD/YardenBirds/llb3_spring/llb3_0010_2018_04_23_15_03_45.wav,/media/windowsD/YardenBirds/llb3_spring/annotated/llb3_0010_2018_04_23_15_03_45.wav.npz,/media/windowsD/YardenBirds/llb3_spring/llb3_annotation_Apr_2019_emily_4TF.mat,yarden,19.5534,0.0027,test
4,4,/media/windowsD/YardenBirds/llb3_spring/llb3_0013_2018_04_23_15_16_55.wav,/media/windowsD/YardenBirds/llb3_spring/annotated/llb3_0013_2018_04_23_15_16_55.wav.npz,/media/windowsD/YardenBirds/llb3_spring/llb3_annotation_Apr_2019_emily_4TF.mat,yarden,13.581,0.0027,train
5,5,/media/windowsD/YardenBirds/llb3_spring/llb3_0014_2018_04_23_15_18_14.wav,/media/windowsD/YardenBirds/llb3_spring/annotated/llb3_0014_2018_04_23_15_18_14.wav.npz,/media/windowsD/YardenBirds/llb3_spring/llb3_annotation_Apr_2019_emily_4TF.mat,yarden,13.0221,0.0027,train
6,6,/media/windowsD/YardenBirds/llb3_spring/llb3_0015_2018_04_23_15_18_14.wav,/media/windowsD/YardenBirds/llb3_spring/annotated/llb3_0015_2018_04_23_15_18_14.wav.npz,/media/windowsD/YardenBirds/llb3_spring/llb3_annotation_Apr_2019_emily_4TF.mat,yarden,2.2626,0.0027,train
7,7,/media/windowsD/YardenBirds/llb3_spring/llb3_0016_2018_04_23_15_18_14.wav,/media/windowsD/YardenBirds/llb3_spring/annotated/llb3_0016_2018_04_23_15_18_14.wav.npz,/media/windowsD/YardenBirds/llb3_spring/llb3_annotation_Apr_2019_emily_4TF.mat,yarden,10.5327,0.0027,train
8,8,/media/windowsD/YardenBirds/llb3_spring/llb3_0017_2018_04_23_15_19_33.wav,/media/windowsD/YardenBirds/llb3_spring/annotated/llb3_0017_2018_04_23_15_19_33.wav.npz,/media/windowsD/YardenBirds/llb3_spring/llb3_annotation_Apr_2019_emily_4TF.mat,yarden,16.1541,0.0027,train
9,9,/media/windowsD/YardenBirds/llb3_spring/llb3_0019_2018_04_23_15_28_47.wav,/media/windowsD/YardenBirds/llb3_spring/annotated/llb3_0019_2018_04_23_15_28_47.wav.npz,/media/windowsD/YardenBirds/llb3_spring/llb3_annotation_Apr_2019_emily_4TF.mat,yarden,21.1572,0.0027,train
10,10,/media/windowsD/YardenBirds/llb3_spring/llb3_0020_2018_04_23_15_30_06.wav,/media/windowsD/YardenBirds/llb3_spring/annotated/llb3_0020_2018_04_23_15_30_06.wav.npz,/media/windowsD/YardenBirds/llb3_spring/llb3_annotation_Apr_2019_emily_4TF.mat,yarden,6.947100000000001,0.0027,test
11,11,/media/windowsD/YardenBirds/llb3_spring/llb3_0023_2018_04_23_15_35_22.wav,/media/windowsD/YardenBirds/llb3_spring/annotated/llb3_0023_2018_04_23_15_35_22.wav.npz,/media/windowsD/YardenBirds/llb3_spring/llb3_annotation_Apr_2019_emily_4TF.mat,yarden,3.7233,0.0027,train
12,12,/media/windowsD/YardenBirds/llb3_spring/llb3_0024_2018_04_23_15_36_41.wav,/media/windowsD/YardenBirds/llb3_spring/annotated/llb3_0024_2018_04_23_15_36_41.wav.npz,/media/windowsD/YardenBirds/llb3_spring/llb3_annotation_Apr_2019_emily_4TF.mat,yarden,14.9121,0.0027,train
13,13,/media/windowsD/YardenBirds/llb3_spring/llb3_0025_2018_04_23_15_43_16.wav,/media/windowsD/YardenBirds/llb3_spring/annotated/llb3_0025_2018_04_23_15_43_16.wav.npz,/media/windowsD/YardenBirds/llb3_spring/llb3_annotation_Apr_2019_emily_4TF.mat,yarden,22.707,0.0027,train
14,14,/media/windowsD/YardenBirds/llb3_spring/llb3_0026_2018_04_23_15_44_35.wav,/media/windowsD/YardenBirds/llb3_spring/annotated/llb3_0026_2018_04_23_15_44_35.wav.npz,/media/windowsD/YardenBirds/llb3_spring/llb3_annotation_Apr_2019_emily_4TF.mat,yarden,10.665,0.0027,train
15,15,/media/windowsD/YardenBirds/llb3_spring/llb3_0030_2018_04_23_15_59_04.wav,/media/windowsD/YardenBirds/llb3_spring/annotated/llb3_0030_2018_04_23_15_59_04.wav.npz,/media/windowsD/YardenBirds/llb3_spring/llb3_annotation_Apr_2019_emily_4TF.mat,yarden,8.081100000000001,0.0027,train
16,16,/media/windowsD/YardenBirds/llb3_spring/llb3_0031_2018_04_23_15_59_04.wav,/media/windowsD/YardenBirds/llb3_spring/annotated/llb3_0031_2018_04_23_15_59_04.wav.npz,/media/windowsD/YardenBirds/llb3_spring/llb3_annotation_Apr_2019_emily_4TF.mat,yarden,16.9263,0.0027,train
17,17,/media/windowsD/YardenBirds/llb3_spring/llb3_0032_2018_04_23_16_00_23.wav,/media/windowsD/YardenBirds/llb3_spring/annotated/llb3_0032_2018_04_23_16_00_23.wav.npz,/media/windowsD/YardenBirds/llb3_spring/llb3_annotation_Apr_2019_emily_4TF.mat,yarden,18.2358,0.0027,train
18,18,/media/windowsD/YardenBirds/llb3_spring/llb3_0033_2018_04_23_16_01_42.wav,/media/windowsD/YardenBirds/llb3_spring/annotated/llb3_0033_2018_04_23_16_01_42.wav.npz,/media/windowsD/YardenBirds/llb3_spring/llb3_annotation_Apr_2019_emily_4TF.mat,yarden,26.8596,0.0027,train
19,19,/media/windowsD/YardenBirds/llb3_spring/llb3_0035_2018_04_23_16_05_39.wav,/media/windowsD/YardenBirds/llb3_spring/annotated/llb3_0035_2018_04_23_16_05_39.wav.npz,/media/windowsD/YardenBirds/llb3_spring/llb3_annotation_Apr_2019_emily_4TF.mat,yarden,3.3264,0.0027,train
20,20,/media/windowsD/YardenBirds/llb3_spring/llb3_0036_2018_04_23_16_05_39.wav,/media/windowsD/YardenBirds/llb3_spring/annotated/llb3_0036_2018_04_23_16_05_39.wav.npz,/media/windowsD/YardenBirds/llb3_spring/llb3_annotation_Apr_2019_emily_4TF.mat,yarden,1.0044,0.0027,train
21,21,/media/windowsD/YardenBirds/llb3_spring/llb3_0046_2018_04_23_16_21_27.wav,/media/windowsD/YardenBirds/llb3_spring/annotated/llb3_0046_2018_04_23_16_21_27.wav.npz,/media/windowsD/YardenBirds/llb3_spring/llb3_annotation_Apr_2019_emily_4TF.mat,yarden,12.0663,0.0027,train
22,22,/media/windowsD/YardenBirds/llb3_spring/llb3_0048_2018_04_23_16_21_27.wav,/media/windowsD/YardenBirds/llb3_spring/annotated/llb3_0048_2018_04_23_16_21_27.wav.npz,/media/windowsD/YardenBirds/llb3_spring/llb3_annotation_Apr_2019_emily_4TF.mat,yarden,12.808800000000002,0.0027,train
23,23,/media/windowsD/YardenBirds/llb3_spring/llb3_0049_2018_04_23_16_27_23.wav,/media/windowsD/YardenBirds/llb3_spring/annotated/llb3_0049_2018_04_23_16_27_23.wav.npz,/media/windowsD/YardenBirds/llb3_spring/llb3_annotation_Apr_2019_emily_4TF.mat,yarden,21.7593,0.0027,train
24,24,/media/windowsD/YardenBirds/llb3_spring/llb3_0051_2018_04_23_17_18_45.wav,/media/windowsD/YardenBirds/llb3_spring/annotated/llb3_0051_2018_04_23_17_18_45.wav.npz,/media/windowsD/YardenBirds/llb3_spring/llb3_annotation_Apr_2019_emily_4TF.mat,yarden,15.5385,0.0027,train
25,25,/media/windowsD/YardenBirds/llb3_spring/llb3_0052_2018_04_23_17_20_04.wav,/media/windowsD/YardenBirds/llb3_spring/annotated/llb3_0052_2018_04_23_17_20_04.wav.npz,/media/windowsD/YardenBirds/llb3_spring/llb3_annotation_Apr_2019_emily_4TF.mat,yarden,12.4038,0.0027,train
26,26,/media/windowsD/YardenBirds/llb3_spring/llb3_0053_2018_04_23_17_20_04.wav,/media/windowsD/YardenBirds/llb3_spring/annotated/llb3_0053_2018_04_23_17_20_04.wav.npz,/media/windowsD/YardenBirds/llb3_spring/llb3_annotation_Apr_2019_emily_4TF.mat,yarden,14.5071,0.0027,train
