cleanup,avg_acc,avg_levenshtein,avg_pct_boundary_err,avg_segment_error_rate,train_set_dur,replicate_num,model_name,results_dir,toml_path,training_replicate_csv_path,checkpoint_path,spect_scalar_path,min_segment_dur,avg_error,animal_id,train_set_dur_ind
majority_vote,0.9768114898611978,11.952380952380953,0.6468933311425253,0.12698964119470363,75,1,TweetyNet,results/Bengalese_Finches/filter_size/filter_size_3/bl26lb16/results_211128_180339,results/Bengalese_Finches/filter_size/filter_size_3/bl26lb16/results_211128_180339/config_BFSongRepository_bl26lb16_learncurve.toml,data/BFSongRepository/learncurve/bl26lb16/041912_prep_210423_094142.csv,results/Bengalese_Finches/filter_size/filter_size_3/bl26lb16/results_211128_180339/train_dur_75s/replicate_1/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/filter_size/filter_size_3/bl26lb16/results_211128_180339/train_dur_75s/replicate_1/StandardizeSpect,0.02,2.3188510138802187,bl26lb16,2
min_segment_dur,0.9762408897422696,10.095238095238095,0.6524722569594439,0.08581625018285796,75,1,TweetyNet,results/Bengalese_Finches/filter_size/filter_size_3/bl26lb16/results_211128_180339,results/Bengalese_Finches/filter_size/filter_size_3/bl26lb16/results_211128_180339/config_BFSongRepository_bl26lb16_learncurve.toml,data/BFSongRepository/learncurve/bl26lb16/041912_prep_210423_094142.csv,results/Bengalese_Finches/filter_size/filter_size_3/bl26lb16/results_211128_180339/train_dur_75s/replicate_1/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/filter_size/filter_size_3/bl26lb16/results_211128_180339/train_dur_75s/replicate_1/StandardizeSpect,0.02,2.3759110257730365,bl26lb16,2
min_segment_dur_majority_vote,0.9771357432873793,2.6666666666666665,0.6773832970249165,0.023878262976750674,75,1,TweetyNet,results/Bengalese_Finches/filter_size/filter_size_3/bl26lb16/results_211128_180339,results/Bengalese_Finches/filter_size/filter_size_3/bl26lb16/results_211128_180339/config_BFSongRepository_bl26lb16_learncurve.toml,data/BFSongRepository/learncurve/bl26lb16/041912_prep_210423_094142.csv,results/Bengalese_Finches/filter_size/filter_size_3/bl26lb16/results_211128_180339/train_dur_75s/replicate_1/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/filter_size/filter_size_3/bl26lb16/results_211128_180339/train_dur_75s/replicate_1/StandardizeSpect,0.02,2.286425671262071,bl26lb16,2
none,0.9759231186258649,20.38095238095238,0.6226010012109741,0.20019551805789434,75,1,TweetyNet,results/Bengalese_Finches/filter_size/filter_size_3/bl26lb16/results_211128_180339,results/Bengalese_Finches/filter_size/filter_size_3/bl26lb16/results_211128_180339/config_BFSongRepository_bl26lb16_learncurve.toml,data/BFSongRepository/learncurve/bl26lb16/041912_prep_210423_094142.csv,results/Bengalese_Finches/filter_size/filter_size_3/bl26lb16/results_211128_180339/train_dur_75s/replicate_1/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/filter_size/filter_size_3/bl26lb16/results_211128_180339/train_dur_75s/replicate_1/StandardizeSpect,0.02,2.4076881374135106,bl26lb16,2
majority_vote,0.9811370891344964,8.666666666666666,0.726979308805124,0.08568508805484633,75,2,TweetyNet,results/Bengalese_Finches/filter_size/filter_size_3/bl26lb16/results_211128_180339,results/Bengalese_Finches/filter_size/filter_size_3/bl26lb16/results_211128_180339/config_BFSongRepository_bl26lb16_learncurve.toml,data/BFSongRepository/learncurve/bl26lb16/041912_prep_210423_094142.csv,results/Bengalese_Finches/filter_size/filter_size_3/bl26lb16/results_211128_180339/train_dur_75s/replicate_2/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/filter_size/filter_size_3/bl26lb16/results_211128_180339/train_dur_75s/replicate_2/StandardizeSpect,0.02,1.8862910865503624,bl26lb16,2
min_segment_dur,0.9807178494281158,7.809523809523809,0.7247435713822042,0.05861982009414187,75,2,TweetyNet,results/Bengalese_Finches/filter_size/filter_size_3/bl26lb16/results_211128_180339,results/Bengalese_Finches/filter_size/filter_size_3/bl26lb16/results_211128_180339/config_BFSongRepository_bl26lb16_learncurve.toml,data/BFSongRepository/learncurve/bl26lb16/041912_prep_210423_094142.csv,results/Bengalese_Finches/filter_size/filter_size_3/bl26lb16/results_211128_180339/train_dur_75s/replicate_2/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/filter_size/filter_size_3/bl26lb16/results_211128_180339/train_dur_75s/replicate_2/StandardizeSpect,0.02,1.9282150571884205,bl26lb16,2
min_segment_dur_majority_vote,0.9818204861552646,1.0952380952380953,0.7717920384574432,0.009873005571282966,75,2,TweetyNet,results/Bengalese_Finches/filter_size/filter_size_3/bl26lb16/results_211128_180339,results/Bengalese_Finches/filter_size/filter_size_3/bl26lb16/results_211128_180339/config_BFSongRepository_bl26lb16_learncurve.toml,data/BFSongRepository/learncurve/bl26lb16/041912_prep_210423_094142.csv,results/Bengalese_Finches/filter_size/filter_size_3/bl26lb16/results_211128_180339/train_dur_75s/replicate_2/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/filter_size/filter_size_3/bl26lb16/results_211128_180339/train_dur_75s/replicate_2/StandardizeSpect,0.02,1.8179513844735373,bl26lb16,2
none,0.9800273874801397,15.571428571428571,0.6842723027271715,0.13575173885446265,75,2,TweetyNet,results/Bengalese_Finches/filter_size/filter_size_3/bl26lb16/results_211128_180339,results/Bengalese_Finches/filter_size/filter_size_3/bl26lb16/results_211128_180339/config_BFSongRepository_bl26lb16_learncurve.toml,data/BFSongRepository/learncurve/bl26lb16/041912_prep_210423_094142.csv,results/Bengalese_Finches/filter_size/filter_size_3/bl26lb16/results_211128_180339/train_dur_75s/replicate_2/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/filter_size/filter_size_3/bl26lb16/results_211128_180339/train_dur_75s/replicate_2/StandardizeSpect,0.02,1.9972612519860267,bl26lb16,2
majority_vote,0.9825487852057484,7.333333333333333,0.7382972359981815,0.07968921162485393,75,3,TweetyNet,results/Bengalese_Finches/filter_size/filter_size_3/bl26lb16/results_211128_180339,results/Bengalese_Finches/filter_size/filter_size_3/bl26lb16/results_211128_180339/config_BFSongRepository_bl26lb16_learncurve.toml,data/BFSongRepository/learncurve/bl26lb16/041912_prep_210423_094142.csv,results/Bengalese_Finches/filter_size/filter_size_3/bl26lb16/results_211128_180339/train_dur_75s/replicate_3/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/filter_size/filter_size_3/bl26lb16/results_211128_180339/train_dur_75s/replicate_3/StandardizeSpect,0.02,1.7451214794251602,bl26lb16,2
min_segment_dur,0.9827932838949168,5.428571428571429,0.7590154303390172,0.050914815631794244,75,3,TweetyNet,results/Bengalese_Finches/filter_size/filter_size_3/bl26lb16/results_211128_180339,results/Bengalese_Finches/filter_size/filter_size_3/bl26lb16/results_211128_180339/config_BFSongRepository_bl26lb16_learncurve.toml,data/BFSongRepository/learncurve/bl26lb16/041912_prep_210423_094142.csv,results/Bengalese_Finches/filter_size/filter_size_3/bl26lb16/results_211128_180339/train_dur_75s/replicate_3/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/filter_size/filter_size_3/bl26lb16/results_211128_180339/train_dur_75s/replicate_3/StandardizeSpect,0.02,1.7206716105083175,bl26lb16,2
