,animal_id,train_set_dur,replicate_num,segmentation,avg_segment_error_rate
0,gy6or6,75,1,not-cleaned,0.05062860041031979
1,gy6or6,75,1,semi-automated-cleaning,0.03441113268026819
2,gy6or6,75,1,manually-cleaned,0.0015633485391549908
3,gy6or6,75,2,not-cleaned,0.049447708825682946
4,gy6or6,75,2,semi-automated-cleaning,0.03323024109563135
5,gy6or6,75,2,manually-cleaned,0.001501361963318485
6,gy6or6,75,3,not-cleaned,0.0516624344228772
7,gy6or6,75,3,semi-automated-cleaning,0.035444966692825604
8,gy6or6,75,3,manually-cleaned,0.0026118075663374225
9,gy6or6,75,4,not-cleaned,0.05144629741491432
10,gy6or6,75,4,semi-automated-cleaning,0.03522882968486271
11,gy6or6,75,4,manually-cleaned,0.0024008126868043235
12,gy6or6,75,5,not-cleaned,0.05046236734636719
13,gy6or6,75,5,semi-automated-cleaning,0.03424489961631559
14,gy6or6,75,5,manually-cleaned,0.002874630786531691
15,gy6or6,75,6,not-cleaned,0.053791808249836634
16,gy6or6,75,6,semi-automated-cleaning,0.03757434051978503
17,gy6or6,75,6,manually-cleaned,0.005732821782876017
18,gy6or6,75,7,not-cleaned,0.048989039720441045
19,gy6or6,75,7,semi-automated-cleaning,0.03277157199038944
20,gy6or6,75,7,manually-cleaned,0.0011189760327566618
21,gy6or6,75,8,not-cleaned,0.05185229022096612
22,gy6or6,75,8,semi-automated-cleaning,0.03563482249091452
23,gy6or6,75,8,manually-cleaned,0.0022966128593758326
24,gy6or6,75,9,not-cleaned,0.04904208237550177
25,gy6or6,75,9,semi-automated-cleaning,0.03282461464545016
26,gy6or6,75,9,manually-cleaned,0.0018605962219166692
27,gy6or6,75,10,not-cleaned,0.050284241942195024
28,gy6or6,75,10,semi-automated-cleaning,0.034397462042831256
29,gy6or6,75,10,manually-cleaned,0.002922799943896251
30,gy6or6,120,1,not-cleaned,0.049417538557451755
31,gy6or6,120,1,semi-automated-cleaning,0.03320007082740015
32,gy6or6,120,1,manually-cleaned,0.0014985984744049262
33,gy6or6,120,2,not-cleaned,0.050592935345476785
34,gy6or6,120,2,semi-automated-cleaning,0.03437546761542518
