,animal_id,train_set_dur,replicate_num,segmentation,avg_segment_error_rate
0,or60yw70,75,1,not-cleaned,0.03786976762160574
1,or60yw70,75,1,semi-automated-cleaning,0.008159485487628213
2,or60yw70,75,1,manually-cleaned,0.0017663720221463277
3,or60yw70,75,2,not-cleaned,0.03719351213137713
4,or60yw70,75,2,semi-automated-cleaning,0.00722496553458969
5,or60yw70,75,2,manually-cleaned,0.000831852069107804
6,or60yw70,75,3,not-cleaned,0.03811765466035528
7,or60yw70,75,3,semi-automated-cleaning,0.008407372526377755
8,or60yw70,75,3,manually-cleaned,0.0020142590608958695
9,or60yw70,75,4,not-cleaned,0.037814183744083976
10,or60yw70,75,4,semi-automated-cleaning,0.008103901610106452
11,or60yw70,75,4,manually-cleaned,0.0026036452874817085
12,or60yw70,75,5,not-cleaned,0.03753895095665158
13,or60yw70,75,5,semi-automated-cleaning,0.00782866882267405
14,or60yw70,75,5,manually-cleaned,0.0014355553571921659
15,or60yw70,75,6,not-cleaned,0.0377384242231244
16,or60yw70,75,6,semi-automated-cleaning,0.007769877626336956
17,or60yw70,75,6,manually-cleaned,0.0013767641608550699
18,or60yw70,75,7,not-cleaned,0.04074535940433373
19,or60yw70,75,7,semi-automated-cleaning,0.011035077270356207
20,or60yw70,75,7,manually-cleaned,0.00464196380487432
21,or60yw70,75,8,not-cleaned,0.03835567161444475
22,or60yw70,75,8,semi-automated-cleaning,0.008387125017657314
23,or60yw70,75,8,manually-cleaned,0.002886868695032571
24,or60yw70,75,9,not-cleaned,0.03905718352153485
25,or60yw70,75,9,semi-automated-cleaning,0.009088636924747418
26,or60yw70,75,9,manually-cleaned,0.002695523459265531
27,or60yw70,75,10,not-cleaned,0.0366941359552305
28,or60yw70,75,10,semi-automated-cleaning,0.0069838538212529735
29,or60yw70,75,10,manually-cleaned,0.0014835974986282302
30,or60yw70,120,1,not-cleaned,0.03906990876053554
31,or60yw70,120,1,semi-automated-cleaning,0.009359626626558013
32,or60yw70,120,1,manually-cleaned,0.0029665131610761264
33,or60yw70,120,2,not-cleaned,0.03820839962998781
34,or60yw70,120,2,semi-automated-cleaning,0.008239853033200368
35,or60yw70,120,2,manually-cleaned,0.0018467395677184816
36,or60yw70,120,3,not-cleaned,0.03727796208070716
37,or60yw70,120,3,semi-automated-cleaning,0.007567679946729638
38,or60yw70,120,3,manually-cleaned,0.0011745664812477519
39,or60yw70,120,4,not-cleaned,0.038772801085850545
40,or60yw70,120,4,semi-automated-cleaning,0.00906251895187302
41,or60yw70,120,4,manually-cleaned,0.0030327775794143884
42,or60yw70,120,5,not-cleaned,0.038709669772719224
43,or60yw70,120,5,semi-automated-cleaning,0.008999387638741705
44,or60yw70,120,5,manually-cleaned,0.0026062741732598193
45,or60yw70,120,6,not-cleaned,0.03758076386220724
46,or60yw70,120,6,semi-automated-cleaning,0.007870481728229718
47,or60yw70,120,6,manually-cleaned,0.002370225405604974
48,or60yw70,120,7,not-cleaned,0.03784525756089756
49,or60yw70,120,7,semi-automated-cleaning,0.007876710964110117
50,or60yw70,120,7,manually-cleaned,0.0014835974986282302
51,or60yw70,120,8,not-cleaned,0.03922513073237424
52,or60yw70,120,8,semi-automated-cleaning,0.0092565841355868
53,or60yw70,120,8,manually-cleaned,0.002863470670104914
54,or60yw70,120,9,not-cleaned,0.03748015976031448
55,or60yw70,120,9,semi-automated-cleaning,0.007769877626336956
56,or60yw70,120,9,manually-cleaned,0.001668820235621425
57,or60yw70,120,10,not-cleaned,0.03752309261244395
58,or60yw70,120,10,semi-automated-cleaning,0.007554546015656508
59,or60yw70,120,10,manually-cleaned,0.001161432550174622
60,or60yw70,600,1,not-cleaned,0.03696535654225447
61,or60yw70,600,1,semi-automated-cleaning,0.007255074408276943
62,or60yw70,600,1,manually-cleaned,0.000861960942795057
63,or60yw70,600,2,not-cleaned,0.036894047332096794
64,or60yw70,600,2,semi-automated-cleaning,0.0069255007353093475
65,or60yw70,600,2,manually-cleaned,0.0005323872698274612
66,or60yw70,600,3,not-cleaned,0.03636166006226933
