cleanup,avg_acc,avg_levenshtein,avg_pct_boundary_err,avg_segment_error_rate,train_set_dur,replicate_num,model_name,results_dir,toml_path,training_replicate_csv_path,checkpoint_path,spect_scalar_path,min_segment_dur,avg_error,animal_id,train_set_dur_ind
majority_vote,0.9718476514227736,4.195121951219512,0.5267887716835219,0.08861047177716569,75,1,TweetyNet,results/Bengalese_Finches/window_size/window_size_44/Bird0/results_211223_235720,results/Bengalese_Finches/window_size/window_size_44/Bird0/results_211223_235720/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/window_size/window_size_44/Bird0/results_211223_235720/train_dur_75s/replicate_1/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/window_size/window_size_44/Bird0/results_211223_235720/train_dur_75s/replicate_1/StandardizeSpect,0.02,2.815234857722637,Bird0,2
min_segment_dur,0.9670694238222042,16.975609756097562,0.4350699567548757,0.32196596016684875,75,1,TweetyNet,results/Bengalese_Finches/window_size/window_size_44/Bird0/results_211223_235720,results/Bengalese_Finches/window_size/window_size_44/Bird0/results_211223_235720/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/window_size/window_size_44/Bird0/results_211223_235720/train_dur_75s/replicate_1/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/window_size/window_size_44/Bird0/results_211223_235720/train_dur_75s/replicate_1/StandardizeSpect,0.02,3.2930576177795823,Bird0,2
min_segment_dur_majority_vote,0.9728637211688898,2.048780487804878,0.5525104569282673,0.040710604274894056,75,1,TweetyNet,results/Bengalese_Finches/window_size/window_size_44/Bird0/results_211223_235720,results/Bengalese_Finches/window_size/window_size_44/Bird0/results_211223_235720/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/window_size/window_size_44/Bird0/results_211223_235720/train_dur_75s/replicate_1/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/window_size/window_size_44/Bird0/results_211223_235720/train_dur_75s/replicate_1/StandardizeSpect,0.02,2.713627883111025,Bird0,2
none,0.9660657696409898,19.585365853658537,0.41880006720179275,0.37900712359517036,75,1,TweetyNet,results/Bengalese_Finches/window_size/window_size_44/Bird0/results_211223_235720,results/Bengalese_Finches/window_size/window_size_44/Bird0/results_211223_235720/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/window_size/window_size_44/Bird0/results_211223_235720/train_dur_75s/replicate_1/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/window_size/window_size_44/Bird0/results_211223_235720/train_dur_75s/replicate_1/StandardizeSpect,0.02,3.393423035901022,Bird0,2
majority_vote,0.973983531226166,3.7560975609756095,0.5832044646857751,0.08277020074031012,75,2,TweetyNet,results/Bengalese_Finches/window_size/window_size_44/Bird0/results_211223_235720,results/Bengalese_Finches/window_size/window_size_44/Bird0/results_211223_235720/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/window_size/window_size_44/Bird0/results_211223_235720/train_dur_75s/replicate_2/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/window_size/window_size_44/Bird0/results_211223_235720/train_dur_75s/replicate_2/StandardizeSpect,0.02,2.601646877383401,Bird0,2
min_segment_dur,0.9671540255625727,20.73170731707317,0.446512076987024,0.3938661050186922,75,2,TweetyNet,results/Bengalese_Finches/window_size/window_size_44/Bird0/results_211223_235720,results/Bengalese_Finches/window_size/window_size_44/Bird0/results_211223_235720/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/window_size/window_size_44/Bird0/results_211223_235720/train_dur_75s/replicate_2/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/window_size/window_size_44/Bird0/results_211223_235720/train_dur_75s/replicate_2/StandardizeSpect,0.02,3.2845974437427317,Bird0,2
min_segment_dur_majority_vote,0.9746974543316022,1.6829268292682926,0.6098371411894574,0.033189511347797095,75,2,TweetyNet,results/Bengalese_Finches/window_size/window_size_44/Bird0/results_211223_235720,results/Bengalese_Finches/window_size/window_size_44/Bird0/results_211223_235720/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/window_size/window_size_44/Bird0/results_211223_235720/train_dur_75s/replicate_2/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/window_size/window_size_44/Bird0/results_211223_235720/train_dur_75s/replicate_2/StandardizeSpect,0.02,2.5302545668397847,Bird0,2
none,0.9664640071262086,23.24390243902439,0.4321436372132594,0.4508403172653096,75,2,TweetyNet,results/Bengalese_Finches/window_size/window_size_44/Bird0/results_211223_235720,results/Bengalese_Finches/window_size/window_size_44/Bird0/results_211223_235720/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/window_size/window_size_44/Bird0/results_211223_235720/train_dur_75s/replicate_2/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/window_size/window_size_44/Bird0/results_211223_235720/train_dur_75s/replicate_2/StandardizeSpect,0.02,3.3535992873791387,Bird0,2
majority_vote,0.9729969079242837,3.7804878048780486,0.5409551986463582,0.07895914351148005,75,3,TweetyNet,results/Bengalese_Finches/window_size/window_size_44/Bird0/results_211223_235720,results/Bengalese_Finches/window_size/window_size_44/Bird0/results_211223_235720/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/window_size/window_size_44/Bird0/results_211223_235720/train_dur_75s/replicate_3/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/window_size/window_size_44/Bird0/results_211223_235720/train_dur_75s/replicate_3/StandardizeSpect,0.02,2.7003092075716273,Bird0,2
min_segment_dur,0.9661078474765277,20.24390243902439,0.41646175198451146,0.366910038625953,75,3,TweetyNet,results/Bengalese_Finches/window_size/window_size_44/Bird0/results_211223_235720,results/Bengalese_Finches/window_size/window_size_44/Bird0/results_211223_235720/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/window_size/window_size_44/Bird0/results_211223_235720/train_dur_75s/replicate_3/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/window_size/window_size_44/Bird0/results_211223_235720/train_dur_75s/replicate_3/StandardizeSpect,0.02,3.389215252347233,Bird0,2
