cleanup,avg_acc,avg_levenshtein,avg_pct_boundary_err,avg_segment_error_rate,train_set_dur,replicate_num,model_name,results_dir,toml_path,training_replicate_csv_path,checkpoint_path,spect_scalar_path,min_segment_dur,avg_error,animal_id,train_set_dur_ind
majority_vote,0.9703259211965146,16.666666666666668,0.5789434182942667,0.05917794358189703,600,1,TweetyNet,results/Canaries/hidden_size/hidden_size_32/llb16/results_210601_100058,results/Canaries/hidden_size/hidden_size_32/llb16/results_210601_100058/config-llb16-lc_hidden_32.toml,data/Canaries/llb16/annotated_prep_200613_135259_linux2_npz.csv,results/Canaries/hidden_size/hidden_size_32/llb16/results_210601_100058/train_dur_600s/replicate_1/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,,0.005,2.967407880348538,llb16,9
min_segment_dur,0.9694466611736005,40.52564102564103,0.5510344574129364,0.14468814319687168,600,1,TweetyNet,results/Canaries/hidden_size/hidden_size_32/llb16/results_210601_100058,results/Canaries/hidden_size/hidden_size_32/llb16/results_210601_100058/config-llb16-lc_hidden_32.toml,data/Canaries/llb16/annotated_prep_200613_135259_linux2_npz.csv,results/Canaries/hidden_size/hidden_size_32/llb16/results_210601_100058/train_dur_600s/replicate_1/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,,0.005,3.0553338826399545,llb16,9
min_segment_dur_majority_vote,0.9703582808338451,16.123931623931625,0.5806132673809762,0.05628393385578453,600,1,TweetyNet,results/Canaries/hidden_size/hidden_size_32/llb16/results_210601_100058,results/Canaries/hidden_size/hidden_size_32/llb16/results_210601_100058/config-llb16-lc_hidden_32.toml,data/Canaries/llb16/annotated_prep_200613_135259_linux2_npz.csv,results/Canaries/hidden_size/hidden_size_32/llb16/results_210601_100058/train_dur_600s/replicate_1/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,,0.005,2.964171916615488,llb16,9
none,0.9694143015362702,41.452991452991455,0.5494813244700689,0.14875334090752962,600,1,TweetyNet,results/Canaries/hidden_size/hidden_size_32/llb16/results_210601_100058,results/Canaries/hidden_size/hidden_size_32/llb16/results_210601_100058/config-llb16-lc_hidden_32.toml,data/Canaries/llb16/annotated_prep_200613_135259_linux2_npz.csv,results/Canaries/hidden_size/hidden_size_32/llb16/results_210601_100058/train_dur_600s/replicate_1/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,,0.005,3.0585698463729827,llb16,9
majority_vote,0.9659745888407579,21.136752136752136,0.535531377360185,0.0664879061665194,600,2,TweetyNet,results/Canaries/hidden_size/hidden_size_32/llb16/results_210601_100058,results/Canaries/hidden_size/hidden_size_32/llb16/results_210601_100058/config-llb16-lc_hidden_32.toml,data/Canaries/llb16/annotated_prep_200613_135259_linux2_npz.csv,results/Canaries/hidden_size/hidden_size_32/llb16/results_210601_100058/train_dur_600s/replicate_2/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,,0.005,3.402541115924207,llb16,9
min_segment_dur,0.964679582136028,49.5,0.5145345303693907,0.16243686919278422,600,2,TweetyNet,results/Canaries/hidden_size/hidden_size_32/llb16/results_210601_100058,results/Canaries/hidden_size/hidden_size_32/llb16/results_210601_100058/config-llb16-lc_hidden_32.toml,data/Canaries/llb16/annotated_prep_200613_135259_linux2_npz.csv,results/Canaries/hidden_size/hidden_size_32/llb16/results_210601_100058/train_dur_600s/replicate_2/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,,0.005,3.5320417863972,llb16,9
min_segment_dur_majority_vote,0.9659810216917101,20.799145299145298,0.5363590875387092,0.06490454231055454,600,2,TweetyNet,results/Canaries/hidden_size/hidden_size_32/llb16/results_210601_100058,results/Canaries/hidden_size/hidden_size_32/llb16/results_210601_100058/config-llb16-lc_hidden_32.toml,data/Canaries/llb16/annotated_prep_200613_135259_linux2_npz.csv,results/Canaries/hidden_size/hidden_size_32/llb16/results_210601_100058/train_dur_600s/replicate_2/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,,0.005,3.4018978308289927,llb16,9
none,0.9646731492850759,50.085470085470085,0.5137063092987836,0.1647926982080913,600,2,TweetyNet,results/Canaries/hidden_size/hidden_size_32/llb16/results_210601_100058,results/Canaries/hidden_size/hidden_size_32/llb16/results_210601_100058/config-llb16-lc_hidden_32.toml,data/Canaries/llb16/annotated_prep_200613_135259_linux2_npz.csv,results/Canaries/hidden_size/hidden_size_32/llb16/results_210601_100058/train_dur_600s/replicate_2/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,,0.005,3.532685071492414,llb16,9
majority_vote,0.949743789432368,31.5,0.4839503100587801,0.09813933098785817,600,3,TweetyNet,results/Canaries/hidden_size/hidden_size_32/llb16/results_210601_100058,results/Canaries/hidden_size/hidden_size_32/llb16/results_210601_100058/config-llb16-lc_hidden_32.toml,data/Canaries/llb16/annotated_prep_200613_135259_linux2_npz.csv,results/Canaries/hidden_size/hidden_size_32/llb16/results_210601_100058/train_dur_600s/replicate_3/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,,0.005,5.025621056763196,llb16,9
min_segment_dur,0.9484296746335961,74.66666666666667,0.46214592259607007,0.24845501788238938,600,3,TweetyNet,results/Canaries/hidden_size/hidden_size_32/llb16/results_210601_100058,results/Canaries/hidden_size/hidden_size_32/llb16/results_210601_100058/config-llb16-lc_hidden_32.toml,data/Canaries/llb16/annotated_prep_200613_135259_linux2_npz.csv,results/Canaries/hidden_size/hidden_size_32/llb16/results_210601_100058/train_dur_600s/replicate_3/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,,0.005,5.1570325366403935,llb16,9
