cleanup,avg_acc,avg_levenshtein,avg_pct_boundary_err,avg_segment_error_rate,train_set_dur,replicate_num,model_name,results_dir,toml_path,training_replicate_csv_path,checkpoint_path,spect_scalar_path,min_segment_dur,avg_error,animal_id,train_set_dur_ind
majority_vote,0.9723805478484671,13.713675213675213,0.5731689142258412,0.049401543528353895,600,1,TweetyNet,results/Canaries/window_size/window_size_740/llb16/results_210524_101828,results/Canaries/window_size/window_size_740/llb16/results_210524_101828/config-llb16-lc_w740.toml,data/Canaries/llb16/annotated_prep_200613_135259_linux2_npz.csv,results/Canaries/window_size/window_size_740/llb16/results_210524_101828/train_dur_600s/replicate_1/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,,0.005,2.761945215153294,llb16,7
min_segment_dur,0.9724760670069504,21.807692307692307,0.5726950061492224,0.07769509657673594,600,1,TweetyNet,results/Canaries/window_size/window_size_740/llb16/results_210524_101828,results/Canaries/window_size/window_size_740/llb16/results_210524_101828/config-llb16-lc_w740.toml,data/Canaries/llb16/annotated_prep_200613_135259_linux2_npz.csv,results/Canaries/window_size/window_size_740/llb16/results_210524_101828/train_dur_600s/replicate_1/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,,0.005,2.752393299304956,llb16,7
min_segment_dur_majority_vote,0.9724111749480872,13.350427350427351,0.5740714112377194,0.04760492238412184,600,1,TweetyNet,results/Canaries/window_size/window_size_740/llb16/results_210524_101828,results/Canaries/window_size/window_size_740/llb16/results_210524_101828/config-llb16-lc_w740.toml,data/Canaries/llb16/annotated_prep_200613_135259_linux2_npz.csv,results/Canaries/window_size/window_size_740/llb16/results_210524_101828/train_dur_600s/replicate_1/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,,0.005,2.7588825051912846,llb16,7
none,0.97244543990733,22.311965811965813,0.5717791924414106,0.07986019558628425,600,1,TweetyNet,results/Canaries/window_size/window_size_740/llb16/results_210524_101828,results/Canaries/window_size/window_size_740/llb16/results_210524_101828/config-llb16-lc_w740.toml,data/Canaries/llb16/annotated_prep_200613_135259_linux2_npz.csv,results/Canaries/window_size/window_size_740/llb16/results_210524_101828/train_dur_600s/replicate_1/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,,0.005,2.755456009266999,llb16,7
majority_vote,0.9699278156627011,16.38888888888889,0.5756011489117803,0.05439507441062489,600,2,TweetyNet,results/Canaries/window_size/window_size_740/llb16/results_210524_101828,results/Canaries/window_size/window_size_740/llb16/results_210524_101828/config-llb16-lc_w740.toml,data/Canaries/llb16/annotated_prep_200613_135259_linux2_npz.csv,results/Canaries/window_size/window_size_740/llb16/results_210524_101828/train_dur_600s/replicate_2/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,,0.005,3.0072184337298857,llb16,7
min_segment_dur,0.9696286433979054,30.38888888888889,0.5752910190510273,0.09752417255847368,600,2,TweetyNet,results/Canaries/window_size/window_size_740/llb16/results_210524_101828,results/Canaries/window_size/window_size_740/llb16/results_210524_101828/config-llb16-lc_w740.toml,data/Canaries/llb16/annotated_prep_200613_135259_linux2_npz.csv,results/Canaries/window_size/window_size_740/llb16/results_210524_101828/train_dur_600s/replicate_2/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,,0.005,3.0371356602094557,llb16,7
min_segment_dur_majority_vote,0.9699525832464171,16.085470085470085,0.5767603757650178,0.0528728947508528,600,2,TweetyNet,results/Canaries/window_size/window_size_740/llb16/results_210524_101828,results/Canaries/window_size/window_size_740/llb16/results_210524_101828/config-llb16-lc_w740.toml,data/Canaries/llb16/annotated_prep_200613_135259_linux2_npz.csv,results/Canaries/window_size/window_size_740/llb16/results_210524_101828/train_dur_600s/replicate_2/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,,0.005,3.004741675358291,llb16,7
none,0.9696038758141902,30.96153846153846,0.5741165327704973,0.09980407952239147,600,2,TweetyNet,results/Canaries/window_size/window_size_740/llb16/results_210524_101828,results/Canaries/window_size/window_size_740/llb16/results_210524_101828/config-llb16-lc_w740.toml,data/Canaries/llb16/annotated_prep_200613_135259_linux2_npz.csv,results/Canaries/window_size/window_size_740/llb16/results_210524_101828/train_dur_600s/replicate_2/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,,0.005,3.0396124185809836,llb16,7
majority_vote,0.9611501884189283,21.068376068376068,0.5641521797801112,0.0648660494090507,600,3,TweetyNet,results/Canaries/window_size/window_size_740/llb16/results_210524_101828,results/Canaries/window_size/window_size_740/llb16/results_210524_101828/config-llb16-lc_w740.toml,data/Canaries/llb16/annotated_prep_200613_135259_linux2_npz.csv,results/Canaries/window_size/window_size_740/llb16/results_210524_101828/train_dur_600s/replicate_3/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,,0.005,3.8849811581071703,llb16,7
min_segment_dur,0.9605752469840275,38.572649572649574,0.5542356274557537,0.11759201927898204,600,3,TweetyNet,results/Canaries/window_size/window_size_740/llb16/results_210524_101828,results/Canaries/window_size/window_size_740/llb16/results_210524_101828/config-llb16-lc_w740.toml,data/Canaries/llb16/annotated_prep_200613_135259_linux2_npz.csv,results/Canaries/window_size/window_size_740/llb16/results_210524_101828/train_dur_600s/replicate_3/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,,0.005,3.942475301597248,llb16,7
