audio_path,spect_path,annot_path,annot_format,duration,timebin_dur,split
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0836.3.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0836.3.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0836.3.cbin.not.mat,notmat,9.064,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0837.4.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0837.4.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0837.4.cbin.not.mat,notmat,10.634,0.002,train
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0837.6.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0837.6.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0837.6.cbin.not.mat,notmat,10.938,0.002,test
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0838.8.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0838.8.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0838.8.cbin.not.mat,notmat,11.044,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0839.9.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0839.9.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0839.9.cbin.not.mat,notmat,14.292,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0840.10.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0840.10.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0840.10.cbin.not.mat,notmat,11.446,0.002,train
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0841.11.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0841.11.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0841.11.cbin.not.mat,notmat,10.604000000000001,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0842.13.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0842.13.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0842.13.cbin.not.mat,notmat,10.046,0.002,val
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0846.32.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0846.32.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0846.32.cbin.not.mat,notmat,16.648,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0847.34.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0847.34.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0847.34.cbin.not.mat,notmat,9.746,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0849.42.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0849.42.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0849.42.cbin.not.mat,notmat,10.628,0.002,train
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0851.54.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0851.54.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0851.54.cbin.not.mat,notmat,15.154,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0852.59.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0852.59.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0852.59.cbin.not.mat,notmat,9.040000000000001,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0853.61.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0853.61.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0853.61.cbin.not.mat,notmat,12.212,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0856.74.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0856.74.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0856.74.cbin.not.mat,notmat,11.33,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0857.79.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0857.79.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0857.79.cbin.not.mat,notmat,11.362,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0857.82.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0857.82.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0857.82.cbin.not.mat,notmat,6.248,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0858.90.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0858.90.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0858.90.cbin.not.mat,notmat,10.018,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0900.104.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0900.104.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0900.104.cbin.not.mat,notmat,9.120000000000001,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0901.106.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0901.106.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0901.106.cbin.not.mat,notmat,13.922,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0903.114.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0903.114.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0903.114.cbin.not.mat,notmat,12.424,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0905.115.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0905.115.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0905.115.cbin.not.mat,notmat,10.272,0.002,train
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0906.117.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0906.117.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0906.117.cbin.not.mat,notmat,13.212,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0907.122.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0907.122.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0907.122.cbin.not.mat,notmat,12.422,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0910.137.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0910.137.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0910.137.cbin.not.mat,notmat,11.378,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0912.145.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0912.145.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0912.145.cbin.not.mat,notmat,17.202,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0913.146.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0913.146.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0913.146.cbin.not.mat,notmat,13.332,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0915.147.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0915.147.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0915.147.cbin.not.mat,notmat,10.912,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0925.176.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0925.176.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0925.176.cbin.not.mat,notmat,11.248000000000001,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0927.182.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0927.182.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0927.182.cbin.not.mat,notmat,9.032,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0928.183.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0928.183.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0928.183.cbin.not.mat,notmat,12.02,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0929.190.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0929.190.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0929.190.cbin.not.mat,notmat,6.664,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0929.191.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0929.191.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0929.191.cbin.not.mat,notmat,12.64,0.002,test
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0931.194.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0931.194.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0931.194.cbin.not.mat,notmat,6.328,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0932.199.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0932.199.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0932.199.cbin.not.mat,notmat,14.954,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0933.201.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0933.201.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0933.201.cbin.not.mat,notmat,12.526,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0933.205.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0933.205.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0933.205.cbin.not.mat,notmat,11.076,0.002,None
D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0935.214.cbin,D:\BengaleseFinches\gy6or6\vak\spectrograms_generated_200727_091134\gy6or6_baseline_220312_0935.214.cbin.spect.npz,D:\BengaleseFinches\gy6or6\032212\gy6or6_baseline_220312_0935.214.cbin.not.mat,notmat,11.484,0.002,None
