cleanup,avg_acc,avg_levenshtein,avg_pct_boundary_err,avg_segment_error_rate,train_set_dur,replicate_num,model_name,results_dir,toml_path,training_replicate_csv_path,checkpoint_path,spect_scalar_path,min_segment_dur,avg_error,animal_id,train_set_dur_ind
majority_vote,0.9780106648484322,7.761904761904762,0.6904739213658351,0.07772921362768821,75,1,TweetyNet,results/Bengalese_Finches/filter_num/filter_num_64/bl26lb16/results_211202_170419,results/Bengalese_Finches/filter_num/filter_num_64/bl26lb16/results_211202_170419/config_BFSongRepository_bl26lb16_learncurve.toml,data/BFSongRepository/learncurve/bl26lb16/041912_prep_210423_094142.csv,results/Bengalese_Finches/filter_num/filter_num_64/bl26lb16/results_211202_170419/train_dur_75s/replicate_1/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/filter_num/filter_num_64/bl26lb16/results_211202_170419/train_dur_75s/replicate_1/StandardizeSpect,0.02,2.1989335151567757,bl26lb16,2
min_segment_dur,0.9768330722505063,9.571428571428571,0.6760455166945601,0.07140696911705816,75,1,TweetyNet,results/Bengalese_Finches/filter_num/filter_num_64/bl26lb16/results_211202_170419,results/Bengalese_Finches/filter_num/filter_num_64/bl26lb16/results_211202_170419/config_BFSongRepository_bl26lb16_learncurve.toml,data/BFSongRepository/learncurve/bl26lb16/041912_prep_210423_094142.csv,results/Bengalese_Finches/filter_num/filter_num_64/bl26lb16/results_211202_170419/train_dur_75s/replicate_1/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/filter_num/filter_num_64/bl26lb16/results_211202_170419/train_dur_75s/replicate_1/StandardizeSpect,0.02,2.3166927749493693,bl26lb16,2
min_segment_dur_majority_vote,0.9778532775796892,2.0476190476190474,0.7065795079717665,0.017842655005086423,75,1,TweetyNet,results/Bengalese_Finches/filter_num/filter_num_64/bl26lb16/results_211202_170419,results/Bengalese_Finches/filter_num/filter_num_64/bl26lb16/results_211202_170419/config_BFSongRepository_bl26lb16_learncurve.toml,data/BFSongRepository/learncurve/bl26lb16/041912_prep_210423_094142.csv,results/Bengalese_Finches/filter_num/filter_num_64/bl26lb16/results_211202_170419/train_dur_75s/replicate_1/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/filter_num/filter_num_64/bl26lb16/results_211202_170419/train_dur_75s/replicate_1/StandardizeSpect,0.02,2.2146722420310794,bl26lb16,2
none,0.9769657086338923,16.142857142857142,0.659608475993595,0.14174248208058696,75,1,TweetyNet,results/Bengalese_Finches/filter_num/filter_num_64/bl26lb16/results_211202_170419,results/Bengalese_Finches/filter_num/filter_num_64/bl26lb16/results_211202_170419/config_BFSongRepository_bl26lb16_learncurve.toml,data/BFSongRepository/learncurve/bl26lb16/041912_prep_210423_094142.csv,results/Bengalese_Finches/filter_num/filter_num_64/bl26lb16/results_211202_170419/train_dur_75s/replicate_1/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/filter_num/filter_num_64/bl26lb16/results_211202_170419/train_dur_75s/replicate_1/StandardizeSpect,0.02,2.3034291366107684,bl26lb16,2
majority_vote,0.9800814015627923,9.904761904761905,0.704232824849124,0.09219461177007596,75,2,TweetyNet,results/Bengalese_Finches/filter_num/filter_num_64/bl26lb16/results_211202_170419,results/Bengalese_Finches/filter_num/filter_num_64/bl26lb16/results_211202_170419/config_BFSongRepository_bl26lb16_learncurve.toml,data/BFSongRepository/learncurve/bl26lb16/041912_prep_210423_094142.csv,results/Bengalese_Finches/filter_num/filter_num_64/bl26lb16/results_211202_170419/train_dur_75s/replicate_2/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/filter_num/filter_num_64/bl26lb16/results_211202_170419/train_dur_75s/replicate_2/StandardizeSpect,0.02,1.9918598437207669,bl26lb16,2
min_segment_dur,0.979093976447224,10.80952380952381,0.6884328211170491,0.09359835623917441,75,2,TweetyNet,results/Bengalese_Finches/filter_num/filter_num_64/bl26lb16/results_211202_170419,results/Bengalese_Finches/filter_num/filter_num_64/bl26lb16/results_211202_170419/config_BFSongRepository_bl26lb16_learncurve.toml,data/BFSongRepository/learncurve/bl26lb16/041912_prep_210423_094142.csv,results/Bengalese_Finches/filter_num/filter_num_64/bl26lb16/results_211202_170419/train_dur_75s/replicate_2/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/filter_num/filter_num_64/bl26lb16/results_211202_170419/train_dur_75s/replicate_2/StandardizeSpect,0.02,2.0906023552776043,bl26lb16,2
min_segment_dur_majority_vote,0.9803294931162256,1.619047619047619,0.7325306621713648,0.014664749334752567,75,2,TweetyNet,results/Bengalese_Finches/filter_num/filter_num_64/bl26lb16/results_211202_170419,results/Bengalese_Finches/filter_num/filter_num_64/bl26lb16/results_211202_170419/config_BFSongRepository_bl26lb16_learncurve.toml,data/BFSongRepository/learncurve/bl26lb16/041912_prep_210423_094142.csv,results/Bengalese_Finches/filter_num/filter_num_64/bl26lb16/results_211202_170419/train_dur_75s/replicate_2/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/filter_num/filter_num_64/bl26lb16/results_211202_170419/train_dur_75s/replicate_2/StandardizeSpect,0.02,1.9670506883774364,bl26lb16,2
none,0.9788407416635895,20.047619047619047,0.6626579438233388,0.17921475020681138,75,2,TweetyNet,results/Bengalese_Finches/filter_num/filter_num_64/bl26lb16/results_211202_170419,results/Bengalese_Finches/filter_num/filter_num_64/bl26lb16/results_211202_170419/config_BFSongRepository_bl26lb16_learncurve.toml,data/BFSongRepository/learncurve/bl26lb16/041912_prep_210423_094142.csv,results/Bengalese_Finches/filter_num/filter_num_64/bl26lb16/results_211202_170419/train_dur_75s/replicate_2/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/filter_num/filter_num_64/bl26lb16/results_211202_170419/train_dur_75s/replicate_2/StandardizeSpect,0.02,2.1159258336410525,bl26lb16,2
majority_vote,0.9814965490998683,11.666666666666666,0.6916893849895305,0.11772300453824107,75,3,TweetyNet,results/Bengalese_Finches/filter_num/filter_num_64/bl26lb16/results_211202_170419,results/Bengalese_Finches/filter_num/filter_num_64/bl26lb16/results_211202_170419/config_BFSongRepository_bl26lb16_learncurve.toml,data/BFSongRepository/learncurve/bl26lb16/041912_prep_210423_094142.csv,results/Bengalese_Finches/filter_num/filter_num_64/bl26lb16/results_211202_170419/train_dur_75s/replicate_3/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/filter_num/filter_num_64/bl26lb16/results_211202_170419/train_dur_75s/replicate_3/StandardizeSpect,0.02,1.8503450900131724,bl26lb16,2
min_segment_dur,0.9822182040265116,8.285714285714286,0.7231995852021412,0.06589203268297979,75,3,TweetyNet,results/Bengalese_Finches/filter_num/filter_num_64/bl26lb16/results_211202_170419,results/Bengalese_Finches/filter_num/filter_num_64/bl26lb16/results_211202_170419/config_BFSongRepository_bl26lb16_learncurve.toml,data/BFSongRepository/learncurve/bl26lb16/041912_prep_210423_094142.csv,results/Bengalese_Finches/filter_num/filter_num_64/bl26lb16/results_211202_170419/train_dur_75s/replicate_3/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/filter_num/filter_num_64/bl26lb16/results_211202_170419/train_dur_75s/replicate_3/StandardizeSpect,0.02,1.778179597348839,bl26lb16,2
