,animal_id,train_set_dur,replicate_num,segmentation,avg_segment_error_rate
0,bl26lb16,75,1,not-cleaned,0.06406167746297722
1,bl26lb16,75,1,semi-automated-cleaning,0.009249087312328926
2,bl26lb16,75,1,manually-cleaned,0.0036964186500033865
3,bl26lb16,75,2,not-cleaned,0.06349346972850893
4,bl26lb16,75,2,semi-automated-cleaning,0.008314579211560272
5,bl26lb16,75,2,manually-cleaned,0.0027619105492347347
6,bl26lb16,75,3,not-cleaned,0.06398531686587791
7,bl26lb16,75,3,semi-automated-cleaning,0.00880642634892926
8,bl26lb16,75,3,manually-cleaned,0.003253757686603721
9,bl26lb16,75,4,not-cleaned,0.0643782652364466
10,bl26lb16,75,4,semi-automated-cleaning,0.009199374719497933
11,bl26lb16,75,4,manually-cleaned,0.003646706057172396
12,bl26lb16,75,5,not-cleaned,0.06272373573552868
13,bl26lb16,75,5,semi-automated-cleaning,0.007544845218580017
14,bl26lb16,75,5,manually-cleaned,0.001992176556254479
15,bl26lb16,75,6,not-cleaned,0.06378823798627908
16,bl26lb16,75,6,semi-automated-cleaning,0.008609347469330422
17,bl26lb16,75,6,manually-cleaned,0.0030566788070048845
18,bl26lb16,75,7,not-cleaned,0.06558560599454832
19,bl26lb16,75,7,semi-automated-cleaning,0.009996206446400977
20,bl26lb16,75,7,manually-cleaned,0.004443537784075441
21,bl26lb16,75,8,not-cleaned,0.08665050997547595
22,bl26lb16,75,8,semi-automated-cleaning,0.03147161945852729
23,bl26lb16,75,8,manually-cleaned,0.02492168284491082
24,bl26lb16,75,9,not-cleaned,0.09014092847404605
25,bl26lb16,75,9,semi-automated-cleaning,0.03496203795709739
26,bl26lb16,75,9,manually-cleaned,0.028412101343480912
27,bl26lb16,75,10,not-cleaned,0.06488335441356519
28,bl26lb16,75,10,semi-automated-cleaning,0.009704463896616517
29,bl26lb16,75,10,manually-cleaned,0.004151795234290979
30,bl26lb16,120,1,not-cleaned,0.06470439171024779
31,bl26lb16,120,1,semi-automated-cleaning,0.00911499216210045
32,bl26lb16,120,1,manually-cleaned,0.0035623234997749116
33,bl26lb16,120,2,not-cleaned,0.062360231555230614
34,bl26lb16,120,2,semi-automated-cleaning,0.007181341038281943
35,bl26lb16,120,2,manually-cleaned,0.0016286723759564056
36,bl26lb16,120,3,not-cleaned,0.06622020892715012
37,bl26lb16,120,3,semi-automated-cleaning,0.01104131841020147
38,bl26lb16,120,3,manually-cleaned,0.005268191194084044
39,bl26lb16,120,4,not-cleaned,0.06437139176906262
40,bl26lb16,120,4,semi-automated-cleaning,0.009192501252113952
41,bl26lb16,120,4,manually-cleaned,0.0034193740359965267
42,bl26lb16,120,5,not-cleaned,0.06280440691285175
43,bl26lb16,120,5,semi-automated-cleaning,0.007625516395903082
44,bl26lb16,120,5,manually-cleaned,0.0020728477335775447
45,bl26lb16,120,6,not-cleaned,0.06423951065877806
46,bl26lb16,120,6,semi-automated-cleaning,0.009060620141829392
47,bl26lb16,120,6,manually-cleaned,0.0035079514795038546
48,bl26lb16,120,7,not-cleaned,0.0664194380501615
49,bl26lb16,120,7,semi-automated-cleaning,0.011240547533212823
50,bl26lb16,120,7,manually-cleaned,0.005687878870887286
51,bl26lb16,120,8,not-cleaned,0.06266050562535022
52,bl26lb16,120,8,semi-automated-cleaning,0.0074816151084015495
53,bl26lb16,120,8,manually-cleaned,0.001928946446076012
54,bl26lb16,120,9,not-cleaned,0.06333572143256748
