,animal_id,train_set_dur,replicate_num,segmentation,avg_segment_error_rate
0,gy6or6,75,1,manually cleaned,0.0012161263169327685
1,gy6or6,75,1,not cleaned,0.05136010114182052
2,gy6or6,75,2,manually cleaned,0.0026616413494043225
3,gy6or6,75,2,not cleaned,0.05275995250912315
4,gy6or6,75,3,manually cleaned,0.0018677599472898033
5,gy6or6,75,3,not cleaned,0.05128913622349204
6,gy6or6,75,4,manually cleaned,0.0027920489935335884
7,gy6or6,75,4,not cleaned,0.052063295008922976
8,gy6or6,75,5,manually cleaned,0.002874630786531691
9,gy6or6,75,5,not cleaned,0.050146516183571084
10,gy6or6,75,6,manually cleaned,0.005732821782876017
11,gy6or6,75,6,not cleaned,0.05542627204615753
12,gy6or6,75,7,manually cleaned,0.002239374317191844
13,gy6or6,75,7,not cleaned,0.052012608088571576
14,gy6or6,75,8,manually cleaned,0.0022966128593758326
15,gy6or6,75,8,not cleaned,0.05206044151607394
16,gy6or6,75,9,manually cleaned,0.0014693599151874045
17,gy6or6,75,9,not cleaned,0.04827480853996905
18,gy6or6,75,10,manually cleaned,0.002922799943896251
19,gy6or6,75,10,not cleaned,0.05100683953979262
20,gy6or6,120,1,manually cleaned,0.0014985984744049262
21,gy6or6,120,1,not cleaned,0.051056666283535994
22,gy6or6,120,2,manually cleaned,0.001965925028688002
23,gy6or6,120,2,not cleaned,0.05114860433209504
24,gy6or6,120,3,manually cleaned,0.0023088605568087153
25,gy6or6,120,3,not cleaned,0.050881348348252906
26,gy6or6,120,4,manually cleaned,0.0007384585289514867
27,gy6or6,120,4,not cleaned,0.049409398017511666
28,gy6or6,120,5,manually cleaned,0.0027629674923971325
29,gy6or6,120,5,not cleaned,0.05179248645111669
30,gy6or6,120,6,manually cleaned,0.0011864872027866123
31,gy6or6,120,6,not cleaned,0.04856730395311533
32,gy6or6,120,7,manually cleaned,0.0015154593059522638
33,gy6or6,120,7,not cleaned,0.04650153362503916
34,gy6or6,120,8,manually cleaned,0.0012161263169327685
35,gy6or6,120,8,not cleaned,0.050984725766445145
36,gy6or6,120,9,manually cleaned,0.0025574557183190463
37,gy6or6,120,9,not cleaned,0.05053063272835185
38,gy6or6,120,10,manually cleaned,0.0016187028064657799
39,gy6or6,120,10,not cleaned,0.05037959939642344
40,gy6or6,600,1,manually cleaned,0.0007384585289514867
41,gy6or6,600,1,not cleaned,0.04567565809784941
42,gy6or6,600,2,manually cleaned,0.0016382611528920417
43,gy6or6,600,2,not cleaned,0.046535102804719716
44,gy6or6,600,3,manually cleaned,0.0012173857320166208
45,gy6or6,600,3,not cleaned,0.04800354177315869
46,gy6or6,600,4,manually cleaned,0.0007384585289514867
47,gy6or6,600,4,not cleaned,0.046474365535973554
48,gy6or6,600,5,manually cleaned,0.0007384585289514867
49,gy6or6,600,5,not cleaned,0.049176485416538136
50,gy6or6,600,6,manually cleaned,0.0007384585289514867
51,gy6or6,600,6,not cleaned,0.04611824017984819
52,gy6or6,600,7,manually cleaned,0.0016382611528920417
53,gy6or6,600,7,not cleaned,0.04623996549303271
54,gy6or6,600,8,manually cleaned,0.0016382611528920417
55,gy6or6,600,8,not cleaned,0.04802897929859621
