,animal_id,train_set_dur,replicate_num,segmentation,avg_segment_error_rate
0,or60yw70,75,1,not-cleaned,0.03690145605661077
1,or60yw70,75,1,semi-automated-cleaning,0.02929344745411072
2,or60yw70,75,1,manually-cleaned,0.0014922492151287839
3,or60yw70,75,2,not-cleaned,0.03745177659418705
4,or60yw70,75,2,semi-automated-cleaning,0.02958550352887708
5,or60yw70,75,2,manually-cleaned,0.000831852069107804
6,or60yw70,75,3,not-cleaned,0.03811765466035528
7,or60yw70,75,3,semi-automated-cleaning,0.03050964605785523
8,or60yw70,75,3,manually-cleaned,0.0020142590608958695
9,or60yw70,75,4,not-cleaned,0.03835397973842543
10,or60yw70,75,4,semi-automated-cleaning,0.030745971135925372
11,or60yw70,75,4,manually-cleaned,0.0026036452874817085
12,or60yw70,75,5,not-cleaned,0.03779721541946149
13,or60yw70,75,5,semi-automated-cleaning,0.03018920681696144
14,or60yw70,75,5,manually-cleaned,0.0014355553571921659
15,or60yw70,75,6,not-cleaned,0.03810179631614765
16,or60yw70,75,6,semi-automated-cleaning,0.030235523250837684
17,or60yw70,75,6,manually-cleaned,0.0016508869678726137
18,or60yw70,75,7,not-cleaned,0.040059822362856864
19,or60yw70,75,7,semi-automated-cleaning,0.032451813760356815
20,or60yw70,75,7,manually-cleaned,0.00464196380487432
21,or60yw70,75,8,not-cleaned,0.037925956863650245
22,or60yw70,75,8,semi-automated-cleaning,0.030059683798340273
23,or60yw70,75,8,manually-cleaned,0.002886868695032571
24,or60yw70,75,9,not-cleaned,0.039315447984344776
25,or60yw70,75,9,semi-automated-cleaning,0.0314491749190348
26,or60yw70,75,9,manually-cleaned,0.002695523459265531
27,or60yw70,75,10,not-cleaned,0.03695240041804042
28,or60yw70,75,10,semi-automated-cleaning,0.029344391815540362
29,or60yw70,75,10,manually-cleaned,0.0014835974986282302
30,or60yw70,120,1,not-cleaned,0.03906990876053554
31,or60yw70,120,1,semi-automated-cleaning,0.03146190015803549
32,or60yw70,120,1,manually-cleaned,0.0029665131610761264
33,or60yw70,120,2,not-cleaned,0.037934276822970264
34,or60yw70,120,2,semi-automated-cleaning,0.030068003757660295
35,or60yw70,120,2,manually-cleaned,0.0018467395677184816
36,or60yw70,120,3,not-cleaned,0.03727796208070716
37,or60yw70,120,3,semi-automated-cleaning,0.02966995347820711
38,or60yw70,120,3,manually-cleaned,0.0011745664812477519
39,or60yw70,120,4,not-cleaned,0.039184276822970265
40,or60yw70,120,4,semi-automated-cleaning,0.03131800375766029
41,or60yw70,120,4,manually-cleaned,0.002822616760700938
42,or60yw70,120,5,not-cleaned,0.03815145605661077
