cleanup,avg_acc,avg_levenshtein,avg_pct_boundary_err,avg_segment_error_rate,train_set_dur,replicate_num,model_name,avg_error,animal_id,train_set_dur_ind
majority_vote,0.9782788958732908,2.902439024390244,0.6443902980958504,0.06536269531522997,75,1,TweetyNet,2.1721104126709245,Bird0,2
min_segment_dur,0.9785364435980911,4.414634146341464,0.6455890466407488,0.08910717439710485,75,1,TweetyNet,2.146355640190889,Bird0,2
min_segment_dur_majority_vote,0.9794347473863858,1.2439024390243902,0.6878591005288933,0.02451311390285806,75,1,TweetyNet,2.0565252613614193,Bird0,2
none,0.977380592084996,6.341463414634147,0.6073909090364975,0.13559983731794722,75,1,TweetyNet,2.2619407915004053,Bird0,2
majority_vote,0.9786900202538791,2.8048780487804876,0.6605896913445193,0.05860571446857447,75,2,TweetyNet,2.130997974612092,Bird0,2
min_segment_dur,0.9772346204778644,7.341463414634147,0.6180352856260728,0.13879237364584568,75,2,TweetyNet,2.2765379522135643,Bird0,2
min_segment_dur_majority_vote,0.9792236188213249,1.3414634146341464,0.6895136357242362,0.024657411882034266,75,2,TweetyNet,2.0776381178675085,Bird0,2
none,0.9767010219104182,8.878048780487806,0.5928812063187663,0.17368187474861407,75,2,TweetyNet,2.329897808958181,Bird0,2
majority_vote,0.9794747219945337,2.6097560975609757,0.667244576056382,0.05790902300955545,75,3,TweetyNet,2.052527800546633,Bird0,2
min_segment_dur,0.9786132795051862,7.2682926829268295,0.6372517307005807,0.13083224433798407,75,3,TweetyNet,2.1386720494813827,Bird0,2
min_segment_dur_majority_vote,0.9801420091718251,1.2439024390243902,0.6974810235276082,0.025722531076449204,75,3,TweetyNet,1.9857990828174854,Bird0,2
none,0.9779459923278946,8.75609756097561,0.6100533395309093,0.16496966674222696,75,3,TweetyNet,2.2054007672105413,Bird0,2
majority_vote,0.9783963164253396,3.5365853658536586,0.6592606964562465,0.07435030401032626,75,4,TweetyNet,2.160368357466036,Bird0,2
min_segment_dur,0.9767706597315459,7.7317073170731705,0.5941454606616379,0.14405431740885635,75,4,TweetyNet,2.3229340268454135,Bird0,2
min_segment_dur_majority_vote,0.9792389163496187,1.3170731707317074,0.6946672420935909,0.024284909657095986,75,4,TweetyNet,2.076108365038132,Bird0,2
none,0.9759280598072669,10.121951219512194,0.5698516823748893,0.1972416358464138,75,4,TweetyNet,2.4071940192733066,Bird0,2
majority_vote,0.9782298220088158,3.2439024390243905,0.6565342280514117,0.07348945581390587,75,5,TweetyNet,2.177017799118419,Bird0,2
min_segment_dur,0.9778187647836569,5.024390243902439,0.6381968395920856,0.1027261999399397,75,5,TweetyNet,2.2181235216343076,Bird0,2
min_segment_dur_majority_vote,0.9792150819376089,1.170731707317073,0.7046914422884284,0.02614431826370904,75,5,TweetyNet,2.0784918062391133,Bird0,2
none,0.9768382472705555,7.2439024390243905,0.5989655612869833,0.15420653993113148,75,5,TweetyNet,2.316175272944454,Bird0,2
