cleanup,avg_acc,avg_levenshtein,avg_pct_boundary_err,avg_segment_error_rate,train_set_dur,replicate_num,model_name,results_dir,toml_path,training_replicate_csv_path,checkpoint_path,spect_scalar_path,min_segment_dur,avg_error,animal_id,train_set_dur_ind
majority_vote,0.9694789955819745,17.555555555555557,0.5588251312205369,0.06058849081154873,600,1,TweetyNet,results/Canaries/hidden_size/hidden_size_2048/llb16/results_210614_080043,results/Canaries/hidden_size/hidden_size_2048/llb16/results_210614_080043/config-llb16-lc_hidden_2048.toml,data/Canaries/llb16/annotated_prep_200613_135259_linux2_npz.csv,results/Canaries/hidden_size/hidden_size_2048/llb16/results_210614_080043/train_dur_600s/replicate_1/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,,0.005,3.052100441802552,llb16,9
min_segment_dur,0.9692881234308186,30.82051282051282,0.5550170090771613,0.105998147067765,600,1,TweetyNet,results/Canaries/hidden_size/hidden_size_2048/llb16/results_210614_080043,results/Canaries/hidden_size/hidden_size_2048/llb16/results_210614_080043/config-llb16-lc_hidden_2048.toml,data/Canaries/llb16/annotated_prep_200613_135259_linux2_npz.csv,results/Canaries/hidden_size/hidden_size_2048/llb16/results_210614_080043/train_dur_600s/replicate_1/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,,0.005,3.0711876569181396,llb16,9
min_segment_dur_majority_vote,0.9695211025564114,17.123931623931625,0.5599897068431868,0.05839580146339057,600,1,TweetyNet,results/Canaries/hidden_size/hidden_size_2048/llb16/results_210614_080043,results/Canaries/hidden_size/hidden_size_2048/llb16/results_210614_080043/config-llb16-lc_hidden_2048.toml,data/Canaries/llb16/annotated_prep_200613_135259_linux2_npz.csv,results/Canaries/hidden_size/hidden_size_2048/llb16/results_210614_080043/train_dur_600s/replicate_1/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,,0.005,3.047889744358856,llb16,9
none,0.9692460164563814,31.482905982905983,0.5538847294935418,0.10881312735692816,600,1,TweetyNet,results/Canaries/hidden_size/hidden_size_2048/llb16/results_210614_080043,results/Canaries/hidden_size/hidden_size_2048/llb16/results_210614_080043/config-llb16-lc_hidden_2048.toml,data/Canaries/llb16/annotated_prep_200613_135259_linux2_npz.csv,results/Canaries/hidden_size/hidden_size_2048/llb16/results_210614_080043/train_dur_600s/replicate_1/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,,0.005,3.075398354361858,llb16,9
majority_vote,0.9668422300743676,18.700854700854702,0.5465188897202995,0.06010940451821559,600,2,TweetyNet,results/Canaries/hidden_size/hidden_size_2048/llb16/results_210614_080043,results/Canaries/hidden_size/hidden_size_2048/llb16/results_210614_080043/config-llb16-lc_hidden_2048.toml,data/Canaries/llb16/annotated_prep_200613_135259_linux2_npz.csv,results/Canaries/hidden_size/hidden_size_2048/llb16/results_210614_080043/train_dur_600s/replicate_2/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,,0.005,3.315776992563235,llb16,9
min_segment_dur,0.9667291071824647,36.55555555555556,0.5461226456024966,0.11312610972133519,600,2,TweetyNet,results/Canaries/hidden_size/hidden_size_2048/llb16/results_210614_080043,results/Canaries/hidden_size/hidden_size_2048/llb16/results_210614_080043/config-llb16-lc_hidden_2048.toml,data/Canaries/llb16/annotated_prep_200613_135259_linux2_npz.csv,results/Canaries/hidden_size/hidden_size_2048/llb16/results_210614_080043/train_dur_600s/replicate_2/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,,0.005,3.327089281753526,llb16,9
min_segment_dur_majority_vote,0.9668618622976073,18.34188034188034,0.547647347536747,0.05849765342938251,600,2,TweetyNet,results/Canaries/hidden_size/hidden_size_2048/llb16/results_210614_080043,results/Canaries/hidden_size/hidden_size_2048/llb16/results_210614_080043/config-llb16-lc_hidden_2048.toml,data/Canaries/llb16/annotated_prep_200613_135259_linux2_npz.csv,results/Canaries/hidden_size/hidden_size_2048/llb16/results_210614_080043/train_dur_600s/replicate_2/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,,0.005,3.313813770239271,llb16,9
none,0.9667094749592245,37.22222222222222,0.5450171097605049,0.11542746395788159,600,2,TweetyNet,results/Canaries/hidden_size/hidden_size_2048/llb16/results_210614_080043,results/Canaries/hidden_size/hidden_size_2048/llb16/results_210614_080043/config-llb16-lc_hidden_2048.toml,data/Canaries/llb16/annotated_prep_200613_135259_linux2_npz.csv,results/Canaries/hidden_size/hidden_size_2048/llb16/results_210614_080043/train_dur_600s/replicate_2/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,,0.005,3.3290525040775454,llb16,9
majority_vote,0.9601268106111115,20.166666666666668,0.5654340271590673,0.06451553902421157,600,3,TweetyNet,results/Canaries/hidden_size/hidden_size_2048/llb16/results_210614_080043,results/Canaries/hidden_size/hidden_size_2048/llb16/results_210614_080043/config-llb16-lc_hidden_2048.toml,data/Canaries/llb16/annotated_prep_200613_135259_linux2_npz.csv,results/Canaries/hidden_size/hidden_size_2048/llb16/results_210614_080043/train_dur_600s/replicate_3/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,,0.005,3.987318938888851,llb16,9
min_segment_dur,0.9600780922703803,36.547008547008545,0.5594999433793143,0.11433627732380226,600,3,TweetyNet,results/Canaries/hidden_size/hidden_size_2048/llb16/results_210614_080043,results/Canaries/hidden_size/hidden_size_2048/llb16/results_210614_080043/config-llb16-lc_hidden_2048.toml,data/Canaries/llb16/annotated_prep_200613_135259_linux2_npz.csv,results/Canaries/hidden_size/hidden_size_2048/llb16/results_210614_080043/train_dur_600s/replicate_3/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,,0.005,3.9921907729619677,llb16,9
