,animal_id,train_set_dur,replicate_num,segmentation,avg_segment_error_rate
0,llb16,600,1,not-cleaned,0.14963258165768978
1,llb16,600,1,semi-automated-cleaning,0.116310894902137
2,llb16,600,1,manually-cleaned,0.05798726644309568
3,llb16,600,2,not-cleaned,0.16429876140374244
4,llb16,600,2,semi-automated-cleaning,0.12823766611085968
5,llb16,600,2,manually-cleaned,0.06714942085933463
6,llb16,600,3,not-cleaned,0.1537751880581758
7,llb16,600,3,semi-automated-cleaning,0.11997430384555983
8,llb16,600,3,manually-cleaned,0.06543610154015295
9,llb16,600,4,not-cleaned,0.1478589340136396
10,llb16,600,4,semi-automated-cleaning,0.11536081717135685
11,llb16,600,4,manually-cleaned,0.06009094198260947
12,llb16,600,5,not-cleaned,0.15071286439759354
13,llb16,600,5,semi-automated-cleaning,0.11635236378945814
14,llb16,600,5,manually-cleaned,0.055237050318394314
15,llb16,600,6,not-cleaned,0.155911522268116
16,llb16,600,6,semi-automated-cleaning,0.12107458819367717
17,llb16,600,6,manually-cleaned,0.05924808560462751
18,llb16,600,7,not-cleaned,0.15549750668312753
19,llb16,600,7,semi-automated-cleaning,0.11951915924011978
20,llb16,600,7,manually-cleaned,0.059158459913488774
21,llb16,420,1,not-cleaned,0.15803051889170597
22,llb16,420,1,semi-automated-cleaning,0.12373084548503557
23,llb16,420,1,manually-cleaned,0.06598024873957088
24,llb16,420,2,not-cleaned,0.16249388726055136
25,llb16,420,2,semi-automated-cleaning,0.12739724239698635
26,llb16,420,2,manually-cleaned,0.06432393929222896
27,llb16,420,3,not-cleaned,0.15489705784266591
28,llb16,420,3,semi-automated-cleaning,0.11978805743369404
29,llb16,420,3,manually-cleaned,0.05926544808964831
30,llb16,420,4,not-cleaned,0.15716957520882446
31,llb16,420,4,semi-automated-cleaning,0.12248009869384856
32,llb16,420,4,manually-cleaned,0.06104534384000681
33,llb16,420,5,not-cleaned,0.1738100085439469
34,llb16,420,5,semi-automated-cleaning,0.14079593784144157
35,llb16,420,5,manually-cleaned,0.08392126769813969
36,llb16,420,6,not-cleaned,0.1622135715895326
37,llb16,420,6,semi-automated-cleaning,0.12951263115156764
38,llb16,420,6,manually-cleaned,0.06539758084970049
39,llb16,420,7,not-cleaned,0.16326838409856584
40,llb16,420,7,semi-automated-cleaning,0.12835722330235996
41,llb16,420,7,manually-cleaned,0.06759152705950092
42,llb16,240,1,not-cleaned,0.18477474775905586
43,llb16,240,1,semi-automated-cleaning,0.15152720077458973
44,llb16,240,1,manually-cleaned,0.09514646187584253
45,llb16,240,2,not-cleaned,0.16862860761312873
46,llb16,240,2,semi-automated-cleaning,0.13414546704767774
47,llb16,240,2,manually-cleaned,0.08540583896386726
48,llb16,240,3,not-cleaned,0.18868857143046563
49,llb16,240,3,semi-automated-cleaning,0.15375464880022968
50,llb16,240,3,manually-cleaned,0.09552384828122593
51,llb16,240,4,not-cleaned,0.16117073437847165
52,llb16,240,4,semi-automated-cleaning,0.12838066628401726
53,llb16,240,4,manually-cleaned,0.07186287268807715
54,llb16,240,5,not-cleaned,0.16788333359338076
55,llb16,240,5,semi-automated-cleaning,0.12962955814856209
56,llb16,240,5,manually-cleaned,0.07064823730617326
57,llb16,240,6,not-cleaned,0.168036524945056
58,llb16,240,6,semi-automated-cleaning,0.13263417817534787
59,llb16,240,6,manually-cleaned,0.07540258926943937
60,llb16,240,7,not-cleaned,0.16418606637432112
61,llb16,240,7,semi-automated-cleaning,0.13285241697420613
62,llb16,240,7,manually-cleaned,0.07589523891874621
63,llb16,190,1,not-cleaned,0.18241463390884874
64,llb16,190,1,semi-automated-cleaning,0.1461233554671504
65,llb16,190,1,manually-cleaned,0.0949052038048877
66,llb16,190,2,not-cleaned,0.1781068802524998
67,llb16,190,2,semi-automated-cleaning,0.14051477648271718
68,llb16,190,2,manually-cleaned,0.08793110354753082
69,llb16,190,3,not-cleaned,0.1686134736323585
70,llb16,190,3,semi-automated-cleaning,0.13222775966608788
71,llb16,190,3,manually-cleaned,0.07621906706282061
72,llb16,190,4,not-cleaned,0.17768554178867563
73,llb16,190,4,semi-automated-cleaning,0.14158801908007532
74,llb16,190,4,manually-cleaned,0.09146214677890337
75,llb16,190,5,not-cleaned,0.1740472005877355
76,llb16,190,5,semi-automated-cleaning,0.13776963447292742
77,llb16,190,5,manually-cleaned,0.08312325028121677
78,llb16,190,6,not-cleaned,0.1773923417546906
79,llb16,190,6,semi-automated-cleaning,0.14130663383615902
80,llb16,190,6,manually-cleaned,0.08575361842135606
81,llb16,190,7,not-cleaned,0.1916254037882307
82,llb16,190,7,semi-automated-cleaning,0.15444133057138473
83,llb16,190,7,manually-cleaned,0.09902490606706552
84,llb16,540,1,not-cleaned,0.16485224196946752
85,llb16,540,1,semi-automated-cleaning,0.12785474132372823
86,llb16,540,1,manually-cleaned,0.06684766034688586
87,llb16,540,2,not-cleaned,0.17065759048289506
88,llb16,540,2,semi-automated-cleaning,0.13493695031298478
89,llb16,540,2,manually-cleaned,0.06843062741204389
90,llb16,540,3,not-cleaned,0.17293406611587334
91,llb16,540,3,semi-automated-cleaning,0.13498575021445908
92,llb16,540,3,manually-cleaned,0.07184117926498146
93,llb16,540,4,not-cleaned,0.15514724214188444
94,llb16,540,4,semi-automated-cleaning,0.12213581467585886
95,llb16,540,4,manually-cleaned,0.06427145832764163
96,llb16,540,5,not-cleaned,0.15863453746666564
97,llb16,540,5,semi-automated-cleaning,0.12467479263447843
98,llb16,540,5,manually-cleaned,0.06338293782352766
99,llb16,540,6,not-cleaned,0.15951433695046607
100,llb16,540,6,semi-automated-cleaning,0.12565204314224374
101,llb16,540,6,manually-cleaned,0.06858850095439391
102,llb16,540,7,not-cleaned,0.16302029074391697
103,llb16,540,7,semi-automated-cleaning,0.12602044597471673
104,llb16,540,7,manually-cleaned,0.06550556218022094
105,llb16,360,1,not-cleaned,0.16356583777300054
106,llb16,360,1,semi-automated-cleaning,0.1283901722951927
107,llb16,360,1,manually-cleaned,0.07118340525206544
108,llb16,360,2,not-cleaned,0.16430389312620663
109,llb16,360,2,semi-automated-cleaning,0.1313265289178904
110,llb16,360,2,manually-cleaned,0.07094457151299005
111,llb16,360,3,not-cleaned,0.16544008766661902
112,llb16,360,3,semi-automated-cleaning,0.12893045457979493
113,llb16,360,3,manually-cleaned,0.07018788940185074
114,llb16,360,4,not-cleaned,0.16598941069091527
115,llb16,360,4,semi-automated-cleaning,0.13046118374425542
116,llb16,360,4,manually-cleaned,0.07232417206823909
117,llb16,360,5,not-cleaned,0.16343931905608983
118,llb16,360,5,semi-automated-cleaning,0.13000202395213917
119,llb16,360,5,manually-cleaned,0.07489153868373764
120,llb16,360,6,not-cleaned,0.1635280325871185
121,llb16,360,6,semi-automated-cleaning,0.12963383216270424
122,llb16,360,6,manually-cleaned,0.07745715729375913
123,llb16,360,7,not-cleaned,0.1721319571591955
124,llb16,360,7,semi-automated-cleaning,0.13629935796676929
125,llb16,360,7,manually-cleaned,0.07957913272039963
126,llb16,480,1,not-cleaned,0.1674796420837479
127,llb16,480,1,semi-automated-cleaning,0.13430301811352965
128,llb16,480,1,manually-cleaned,0.07337585667510052
129,llb16,480,2,not-cleaned,0.18323963370831456
130,llb16,480,2,semi-automated-cleaning,0.1508175484486161
131,llb16,480,2,manually-cleaned,0.09965983534875687
132,llb16,480,3,not-cleaned,0.1567695280528655
133,llb16,480,3,semi-automated-cleaning,0.12273847942453218
134,llb16,480,3,manually-cleaned,0.0643707216998232
135,llb16,480,4,not-cleaned,0.16474829643062253
136,llb16,480,4,semi-automated-cleaning,0.1305199113180972
137,llb16,480,4,manually-cleaned,0.07280119088463424
138,llb16,480,5,not-cleaned,0.1721193431204817
139,llb16,480,5,semi-automated-cleaning,0.13785947423421474
140,llb16,480,5,manually-cleaned,0.0815354171956455
141,llb16,480,6,not-cleaned,0.20149156107330116
142,llb16,480,6,semi-automated-cleaning,0.1667140416708281
143,llb16,480,6,manually-cleaned,0.11307918273297815
144,llb16,480,7,not-cleaned,0.15596679970888663
145,llb16,480,7,semi-automated-cleaning,0.12310229461552986
146,llb16,480,7,manually-cleaned,0.06558848706126613
147,llb16,300,1,not-cleaned,0.1812667106361619
148,llb16,300,1,semi-automated-cleaning,0.14549899051851542
149,llb16,300,1,manually-cleaned,0.08993196528198602
150,llb16,300,2,not-cleaned,0.15333785842728176
151,llb16,300,2,semi-automated-cleaning,0.11864570280089717
152,llb16,300,2,manually-cleaned,0.06327395209737256
153,llb16,300,3,not-cleaned,0.19326027343649113
154,llb16,300,3,semi-automated-cleaning,0.15428002494747506
155,llb16,300,3,manually-cleaned,0.10285194794593723
156,llb16,300,4,not-cleaned,0.16495210065477953
157,llb16,300,4,semi-automated-cleaning,0.12820247743129107
158,llb16,300,4,manually-cleaned,0.06913668691699942
159,llb16,300,5,not-cleaned,0.16563861311550562
160,llb16,300,5,semi-automated-cleaning,0.12811662027029191
161,llb16,300,5,manually-cleaned,0.06538351273529976
162,llb16,300,6,not-cleaned,0.16453872281146242
163,llb16,300,6,semi-automated-cleaning,0.1281927362960561
164,llb16,300,6,manually-cleaned,0.07067584571429147
165,llb16,300,7,not-cleaned,0.17056072326021254
166,llb16,300,7,semi-automated-cleaning,0.13368426948703685
167,llb16,300,7,manually-cleaned,0.07534676234776537
168,llb16,660,1,not-cleaned,0.14575760932982518
169,llb16,660,1,semi-automated-cleaning,0.11192479774793075
170,llb16,660,1,manually-cleaned,0.05371386387778959
171,llb16,660,2,not-cleaned,0.15364074299629385
172,llb16,660,2,semi-automated-cleaning,0.12023379564144084
173,llb16,660,2,manually-cleaned,0.061907886167162904
174,llb16,660,3,not-cleaned,0.16399259718830464
175,llb16,660,3,semi-automated-cleaning,0.1294313692866532
176,llb16,660,3,manually-cleaned,0.0726675900269239
177,llb16,660,4,not-cleaned,0.15285562602748368
178,llb16,660,4,semi-automated-cleaning,0.11977260786721179
179,llb16,660,4,manually-cleaned,0.05780038621446482
180,llb16,660,5,not-cleaned,0.16255967776603047
181,llb16,660,5,semi-automated-cleaning,0.1252844910959149
182,llb16,660,5,manually-cleaned,0.06492127067937772
183,llb16,660,6,not-cleaned,0.15485295971275373
184,llb16,660,6,semi-automated-cleaning,0.12190256548304353
185,llb16,660,6,manually-cleaned,0.06423995771489437
186,llb16,660,7,not-cleaned,0.1488326959634853
187,llb16,660,7,semi-automated-cleaning,0.11457776158551325
188,llb16,660,7,manually-cleaned,0.05378448456087942
