cleanup,avg_acc,avg_levenshtein,avg_pct_boundary_err,avg_segment_error_rate,train_set_dur,replicate_num,model_name,avg_error,animal_id,train_set_dur_ind,hyperparam_expt,hyperparam_val,species
majority_vote,0.9772069976465452,2.756097560975609,0.6629600348393926,5.43906557787811,75,1,TweetyNet,2.279300235345472,Bird0,2,hidden_size,16,Bengalese Finch
min_segment_dur,0.9703368037096324,19.97560975609756,0.4953739607105749,37.92941121252872,75,1,TweetyNet,2.9663196290367733,Bird0,2,hidden_size,16,Bengalese Finch
min_segment_dur_majority_vote,0.9777123717542902,1.3414634146341464,0.6798513250547804,2.66617718131004,75,1,TweetyNet,2.2287628245709845,Bird0,2,hidden_size,16,Bengalese Finch
none,0.9698350918006712,21.853658536585368,0.4848344180871586,41.42153701828405,75,1,TweetyNet,3.016490819932882,Bird0,2,hidden_size,16,Bengalese Finch
majority_vote,0.9768863151672996,2.804878048780488,0.6465610407582654,5.08206461998506,75,2,TweetyNet,2.3113684832700487,Bird0,2,hidden_size,16,Bengalese Finch
min_segment_dur,0.971045802248078,22.09756097560976,0.5035053979417072,40.70591513613951,75,2,TweetyNet,2.895419775192209,Bird0,2,hidden_size,16,Bengalese Finch
min_segment_dur_majority_vote,0.9772133315513434,1.5609756097560976,0.6610031975673456,2.89284051498812,75,2,TweetyNet,2.278666844865662,Bird0,2,hidden_size,16,Bengalese Finch
none,0.9707147051807652,23.5609756097561,0.4951002709814749,43.35998021441374,75,2,TweetyNet,2.928529481923492,Bird0,2,hidden_size,16,Bengalese Finch
majority_vote,0.9764591304029748,3.024390243902439,0.6164235739201118,6.32187245291046,75,3,TweetyNet,2.354086959702528,Bird0,2,hidden_size,16,Bengalese Finch
min_segment_dur,0.9713530714464078,18.51219512195122,0.5227466693016654,31.44856434373632,75,3,TweetyNet,2.864692855359219,Bird0,2,hidden_size,16,Bengalese Finch
min_segment_dur_majority_vote,0.9770556909730576,1.4390243902439024,0.6422216644539774,2.70398788906552,75,3,TweetyNet,2.2944309026942333,Bird0,2,hidden_size,16,Bengalese Finch
none,0.9707565108763246,20.341463414634145,0.500260210064666,35.52887963441662,75,3,TweetyNet,2.924348912367536,Bird0,2,hidden_size,16,Bengalese Finch
majority_vote,0.9725939484353217,3.292682926829268,0.596500372884607,6.677806838675179,75,4,TweetyNet,2.740605156467834,Bird0,2,hidden_size,16,Bengalese Finch
min_segment_dur,0.969342133170806,20.02439024390244,0.5044905611670101,36.77778238474566,75,4,TweetyNet,3.0657866829194136,Bird0,2,hidden_size,16,Bengalese Finch
min_segment_dur_majority_vote,0.9729019250141154,1.7804878048780488,0.6093342625390009,3.1807563155768,75,4,TweetyNet,2.709807498588457,Bird0,2,hidden_size,16,Bengalese Finch
none,0.9690207553590988,21.902439024390244,0.496721018204333,40.83458889619669,75,4,TweetyNet,3.0979244640901182,Bird0,2,hidden_size,16,Bengalese Finch
majority_vote,0.9756243754390328,2.1463414634146343,0.6196314955302868,4.74899159928674,75,5,TweetyNet,2.437562456096709,Bird0,2,hidden_size,16,Bengalese Finch
min_segment_dur,0.9709044962560286,16.75609756097561,0.5117130875959913,32.2237900584742,75,5,TweetyNet,2.9095503743971407,Bird0,2,hidden_size,16,Bengalese Finch
min_segment_dur_majority_vote,0.9762249466727404,1.4146341463414631,0.6402581012867433,2.94025652776882,75,5,TweetyNet,2.377505332725971,Bird0,2,hidden_size,16,Bengalese Finch
none,0.9703039250223212,17.829268292682926,0.4998343364624198,34.74345990670471,75,5,TweetyNet,2.96960749776789,Bird0,2,hidden_size,16,Bengalese Finch
